Modulo nnlm-es-dim128-with-normalization-2
Topicos : comunidadun dia feliz unparatodos mas conoce semana uncolombia video noche dias actividades programacion 
 feliz noche comunidadun deseamos gran final ano 2015 comienzo 2016 lleno mejor somosun uncolombia  ; j : 1. Sim : 0.6217162; Baja. 
 instalo pais crisis cuestion minutos vimos nacer crisis tres minutos existia c velandia  ; j : 1149. Sim : 0.46980914; No similar. 
 video rector mantillaignacio invita participar viene despues habitat iii habitat3followup labelurl ; j : 1150. Sim : 0.33837116; No similar. 
 programateun unmanizales recibe saxofonista chilena labelurl unparatodos feliz noche labelurl  ; j : 1151. Sim : 0.37150353; No similar. 
 feliz noche unparatodos tal martes esperamos sido gran dia grandes logros toda comunidadun  ; j : 1152. Sim : 0.61098194; Baja. 
 unparatodos conoce mas proyecto fritz karsen deje huella labelurl via semanaed oribogota unbogota  ; j : 1153. Sim : 0.31188285; No similar. 
 video sabias utilizan interaccion robots aprender mecatronica noticiaun labelurl unimedios  ; j : 1154. Sim : 0.3030977; No similar. 
 comunidadun comienza semana musica video playback traversee labelurl untelevision  ; j : 1155. Sim : 0.6162396; Baja. 
 somosorgulloun premiada tres investigaciones odontologia labelurl feliz fin semana comunidadun  ; j : 1156. Sim : 0.46826866; No similar. 
 rt inguniandes orgullo sis plug cocreado grupo ingenieria biomedicaprimer dispositivo medico aproba; j : 1157. Sim : 0.11225837; No similar. 
 buenviernes muchas razones sentimos orgulloun aqui encontraras 2016 labelurl  ; j : 1158. Sim : 0.39457077; No similar. 
 fin semana conozcamos mas museosun museo paleontologico labelurl unparatodos labelurl  ; j : 1159. Sim : 0.47771397; No similar. 
 comunidadun escucha cubrimiento filbo2016 unradio labelurl 985unradio unparatodos  ; j : 1160. Sim : 0.2792208; No similar. 
 felizviernes launtransformavidas video guajira labelurl unparatodos orgulloun youtube  ; j : 1161. Sim : 0.3473116; No similar. 
 invima autoriza primera vez uso dispositivo medico colombiano labelurl labelurl  ; j : 1162. Sim : 0.14942928; No similar. 
 felizmartes comienza dia musica video playback traversee labelurl untelevision  ; j : 1163. Sim : 0.5431068; Baja. 
 comunidadun uncolombia dias extraordinarios undiaenlaun 24 agosto labelurl  ; j : 1164. Sim : 0.62751037; Baja. 
 premio biblioteca narrativa colombiana convocatoria abierta premiar literatura pais pbnc labelurl  ; j : 1165. Sim : 0.16736168; No similar. 
 dfdelriot hola aqui puedes encontrar videos demas sedes labelurl cuales estan pu labelurl  ; j : 1166. Sim : 0.47682965; No similar. 
 ganaron actividad transformandovidas dejen participar quedan do dias labelurl  ; j : 1167. Sim : 0.4496329; No similar. 
 rt educaunisabana buenos dias hoy regreso universidad puedes visitar galeria arte 8g x 5m estara 28; j : 1168. Sim : 0.6352297; Baja. 
 sabes detras palabras campanaun expresatebien comunicate mejor labelurl oficinapeun  ; j : 1169. Sim : 0.406453; No similar. 
 rt dnpcolombia minutos transmision envivo foro smartcities uniandes interviene dir simongaviria lab; j : 1170. Sim : 0.3545917; No similar. 
 invitamos ser parte comunidadun youtube labelurl somosun suscribete conoce mas unparatodos  ; j : 1171. Sim : 0.44621748; No similar. 
 recuerda puedes programar semana actividades eventos unparatodos labelurl circularun  ; j : 1172. Sim : 0.51190054; Baja. 
 conoces museosun hoy conozcamos museo geocienicas unmedellin labelurl unparatodos labelurl  ; j : 1173. Sim : 0.27716577; No similar. 
 conoces museosun hoy conozcamos museo entomologico unpalmira labelurl unparatodos labelurl  ; j : 1174. Sim : 0.21818653; No similar. 
 gracias voluntarios solidaridadsabana grupo gaitas tambores bienestarsabana dedicacion labelurl  ; j : 1175. Sim : 0.21240643; No similar. 
 dia mundial diseno industrial feliz dia disenadores industriales hacen parte labelurl  ; j : 1176. Sim : 0.4695236; No similar. 
 encuentromedios hablando comunicacion universitaria latinoamerica ffchaparro ieuun uncolombia label; j : 1177. Sim : 0.29280147; No similar. 
 conoce actividades culturales entretenimiento disfrutar julio bogota labelurl labelurl  ; j : 1178. Sim : 0.50842404; Baja. 
 buenviernes celebracion sesquicentenarioun fotogaleria recuerda historiasun labelurl orgulloun  ; j : 1179. Sim : 0.28118843; No similar. 
 comunidadun actividades realizan semana unbogota encuentras aqui labelurl bienestarun  ; j : 1180. Sim : 0.6383732; Baja. 
 feliz noche comunidadun esperamos sido universidad labelurl sedesun unparatodos  ; j : 1181. Sim : 0.5187846; Baja. 
 rt grupoargos tourtuitero inicia recorrido centroargosinnovacion junto filial cementosargos bienven; j : 1182. Sim : 0.27210733; No similar. 
 programateun actividades culturales auditorioleondegreiff mes labelurl unparatodos divcultural  ; j : 1183. Sim : 0.4917629; No similar. 
 maestros acompanan diariamente camino feliz dia ustedes orgulloun labelurl  ; j : 1184. Sim : 0.4509009; No similar. 
 buenviernes comunidadun conoces canal youtube suscribete conoce mas labelurl  ; j : 1185. Sim : 0.45335466; No similar. 
 rt comfama manana cita eafit hablemos paz moderador invitado estara hector abad faciolince contamos; j : 1186. Sim : 0.46813476; No similar. 
 terminar dia contamos abierta convocatoria festequinoxio labelurl feliz noche comunidadun  ; j : 1187. Sim : 0.6342405; Baja. 
 noticiaun atmosxp fly app evita explosiones minas subterraneas labelurl unmedellin labelurl  ; j : 1188. Sim : 0.18874966; No similar. 
 comunidadun bienvenidos festival cambalache feliz dia fotogaleria labelurl labelurl  ; j : 1189. Sim : 0.47128332; No similar. 
 rt consejoech casur teatrino transmision debateplebiscitour busquemos mejor futuro pais labelurl  ; j : 1190. Sim : 0.38941613; No similar. 
 rt orgulloun produccion patent tambien primera orgulloun institucionalun labelurl  ; j : 1191. Sim : 0.26992318; No similar. 
 comunidadun cualquier dia uncolombia dia extraordinario descubrelo labelurl labelurl  ; j : 1192. Sim : 0.5638399; Baja. 
 comunidadun homenaje hombre programa click untelevision video unmedellin orgulloun labelurl  ; j : 1193. Sim : 0.34683976; No similar. 
 roloalzate gracias comentarios ayudan mejorar gestion remitido unidad encargada  ; j : 1194. Sim : 0.1827604; No similar. 
 uncolombia puedes encontrar grandes amigos feliz miercoles excelente dia oficinapeun labelurl  ; j : 1195. Sim : 0.57546926; Baja. 
 huella general santander universidad publica ignacio mantilla marco labelurl  ; j : 1196. Sim : 0.28949165; No similar. 
 comunidadun viernes escuchar unradio labelurl 985unradio unradiomedellin unradioweb  ; j : 1197. Sim : 0.3449816; No similar. 
 buenos dias comunidadun descubre unmanizales consolida ciudad universitaria labelurl  ; j : 1198. Sim : 0.44106466; No similar. 
 historia vanessa colmenares beneficiaria beca gabriel vega lara solidaridaduniandes labelurl  ; j : 1199. Sim : 0.24613984; No similar. 
 urenlahistoria acompananos conmemorar bicentenario pacificacion descubre mas labelurl labelurl  ; j : 1200. Sim : 0.2376141; No similar. 
 noticiaun centro pensamiento paz lista mundial think tank orgulloun piensapazunal labelurl unimedio; j : 1201. Sim : 0.124584354; No similar. 
 rt behrentz seguimos visita uniandes tecdemonterrey experimentando amabilidad generosidad mexicana ; j : 1202. Sim : 0.1577449; No similar. 
 launcuenta proceso rendicion cuentas vigencia 2016 encuentras canal youtube video labelurl  ; j : 1203. Sim : 0.49687672; No similar. 
 rt orgulloun estudiante doctorado logra reconocimiento oea orgulloun comunidadun labelurl  ; j : 1204. Sim : 0.19107437; No similar. 
 comunidadun conoce programa ingenios untelevision video labelurl unmedellin labelurl  ; j : 1205. Sim : 0.30988756; No similar. 
 felizmiercoles continua aprovechando biblioteca abierta 24 horas unmanizales labelurl labelurl  ; j : 1206. Sim : 0.24891798; No similar. 
 rt grupoargos universidad eafit evento presentacion fondo rodrigo botero montoya labelurl  ; j : 1207. Sim : 0.4290129; No similar. 
 mas dudas certezas frente uso medicinal marihuana labelurl labelurl  ; j : 1208. Sim : 0.19424012; No similar. 
 estudiantes uncolombia muestran tener huerta casa labelurl unparatodos feli labelurl  ; j : 1209. Sim : 0.26678276; No similar. 
 comenzaron club ciencia 2017 cdeccol eafit estan present ocho grupos labor investigativas labelurl ; j : 1210. Sim : 0.29578525; No similar. 
 conoce mas arte restaurar grandes obras labelurl unimedios feliz miercoles labelurl  ; j : 1211. Sim : 0.3942588; No similar. 
 rector usal daniel hernandez ruiperez visitara urosario conoce mas labelurl labelurl  ; j : 1212. Sim : 0.23370601; No similar. 
 manana urosario simposio uso medicinal marihuana consulta programacion labelurl labelurl  ; j : 1213. Sim : 0.3460143; No similar. 
 comunidadun construir futuro pazun uncolombia unpalmira unmanizales unmedellin labelurl  ; j : 1214. Sim : 0.15075757; No similar. 
 comunidadun comencemos dia interesantes documentales untelevision labelurl felizjueves labelurl  ; j : 1215. Sim : 0.46650606; No similar. 
 comenzar dia gracias contadores ayudan dia dia trabajo feliz dia labelurl  ; j : 1216. Sim : 0.6188866; Baja. 
 seguridad digital depende tambien responsabilidad usuarios ursummerschool labelurl labelurl  ; j : 1217. Sim : 0.21117994; No similar. 
 rede sociales hacen dano democracia detras estan pensamientos personas c labelurl  ; j : 1218. Sim : 0.31207696; No similar. 
 vive semana seguridad urosario consulta actividades programadas losvigiasur labelurl labelurl  ; j : 1219. Sim : 0.4651784; No similar. 
 terminar dia noticias hacen sentir orgulloun mas patentada labelurl via revistasemana  ; j : 1220. Sim : 0.48812306; No similar. 
 rt biblioeafit hoy manana gemma bernado doctora filologia clasica estara eafit hablando libros incu; j : 1221. Sim : 0.47999918; No similar. 
 rosario participara knowledge partner forum ocde labelurl labelurl  ; j : 1222. Sim : 0.19111584; No similar. 
 mal asclepio sindrome judicial medico labelurl labelurl  ; j : 1223. Sim : 0.17973483; No similar. 
 rt obsdemocracia abc propuestas mision electoral especial especial cerosetenta obsdemocracia labelu; j : 1224. Sim : 0.31245902; No similar. 
 rt manuelmateusl jrestrp rector urosario bugavalle foroeconomia buga valle labelurl  ; j : 1225. Sim : 0.063206755; No similar. 
 comenzar dia ganarse nobel musica labelurl buenviernes feliz di labelurl  ; j : 1226. Sim : 0.43362078; No similar. 
 video investigar calidad energia mentes labelurl untelevision unmanizales  ; j : 1227. Sim : 0.37899637; No similar. 
 estebanpalacio saludos estan exentos medida eafit mientras decreto municipal permita ver mas labelu; j : 1228. Sim : 0.37790295; No similar. 
 finalizar gran dia opera the medium video canal institucional untelevision labelurl feliz noche com; j : 1229. Sim : 0.60577977; Baja. 
 paulimoon hola favor envianos datos mensaje directo enviarte informacion solicitada feliz dia  ; j : 1230. Sim : 0.5791017; Baja. 
 terminar dia informacion dias boletinun labelurl unimedios feliz noche comunidadun  ; j : 1231. Sim : 0.74527353; Media. 
 rt facisouniandes buen dia coloquio psicologia tendra tema violencia rodea labelurl labelurl  ; j : 1232. Sim : 0.5043619; Baja. 
 sttmed julimon05 quicenodaniel buenos dias compartimos informacion oficial incidente labelurl  ; j : 1233. Sim : 0.5040059; Baja. 
 partir proxima semana comienza i semana investigacion consulta programacion labelurl  ; j : 1234. Sim : 0.6874224; Media. 
 comunidadun hoy gran dia sentirnos orgullosos ser parte orgulloun labelurl labelurl  ; j : 1235. Sim : 0.39765823; No similar. 
 comunidadun conoce actividades programadas mes mujeres bienestarbogota felizdiadelamujer labelurl  ; j : 1236. Sim : 0.53813803; Baja. 
 unparatodos idea emprendedora aprender divertido video labelurl unmanizales labelurl  ; j : 1237. Sim : 0.23103414; No similar. 
 paohuertas oficinapeun aqui encuentras toda informacion labelurl  ; j : 1238. Sim : 0.45804018; No similar. 
 juan carlos contreras sube escenario tedx aguas siga transmision vivo labelurl  ; j : 1239. Sim : 0.5436196; Baja. 
 terminar martes invitamos suscribirse pagina oficial youtube uncolombia labelurl  ; j : 1240. Sim : 0.5285486; Baja. 
 conoce mas personas acontecimientos diariamente orgulloun labelurl comunidadun institucionalun  ; j : 1241. Sim : 0.4365594; No similar. 
 medicina siglo xxi valido aplicar preceptos hipocrates labelurl labelurl  ; j : 1242. Sim : 0.17077723; No similar. 
 hoy deseamos gran dia psicorientadores hacen parte uncolombia labelurl  ; j : 1243. Sim : 0.5180184; Baja. 
 comunidadun partir hoy coloquio genero politica politica genero info labelurl  ; j : 1244. Sim : 0.5107609; Baja. 
 damas voluntarias clinunisabana compromiso dedicacion amor demas labelurl  ; j : 1245. Sim : 0.24775234; No similar. 
 momento grupoargos cementosargos hacen tourtuitero centroargosinnovacion eafit labelurl  ; j : 1246. Sim : 0.36143115; No similar. 
 comunidadun buscas buen plan cultural vacaciones encuentralo labelurl unparatodos labelurl  ; j : 1247. Sim : 0.32326686; No similar. 
 comunidadun terminemos dia mejor actitud toda energia mejor noche previa navidad labelurl  ; j : 1248. Sim : 0.6265318; Baja. 
 noticiaun discriminacion diseno tesis premiada mexico estudiante uncolombia labelurl  ; j : 1249. Sim : 0.32930627; No similar. 
 felizviernes launtransformavidas video guajira labelurl unparatodos orgulloun labelurl  ; j : 1250. Sim : 0.24327391; No similar. 
 pazun censo socioeconomico farc conocera julio labelurl alejovargasve piensapazunal labelurl  ; j : 1251. Sim : 0.35179067; No similar. 
 minutos foro lapazesposible siguelo vivo labelurl pnudcolombia eltiempo labelurl  ; j : 1252. Sim : 0.4019244; No similar. 
 comunidadun comenzamos semana caminos ensenanza uncolombia labelurl labelurl  ; j : 1253. Sim : 0.5227863; Baja. 
 rt comsabana unisabanaradio transmite ahora evento castanopilar semanacomsabana escuchen labelurl  ; j : 1254. Sim : 0.348385; No similar. 
 laugomezaldana buenos dias indicanos facultad perteneces  ; j : 1255. Sim : 0.4558197; No similar. 
 flores color quiero estudiar dia madre labelurl  ; j : 1256. Sim : 0.41016367; No similar. 
 comenzar dia video postales ciudad universitaria unbogota labelurl felizjueves labelurl  ; j : 1257. Sim : 0.4205189; No similar. 
 buenos dias comenzamos dia compartiendo ustedes canal oficial youtube suscribete labelurl somosun  ; j : 1258. Sim : 0.5869364; Baja. 
 rt facisouniandes feliz miercoles pierdan encuentro psicologia crianza amor labelurl labelurl  ; j : 1259. Sim : 0.42926785; No similar. 
 feliz noche comunidadun sigue acompanandonos transformar vida colombianos labelurl labelurl  ; j : 1260. Sim : 0.4106119; No similar. 
 rt alumnisabana ultimos dias inscribirse torneofutbolalumnisabana reuniste amigos participar labelu; j : 1261. Sim : 0.5776591; Baja. 
 anamnaranjoanamnaranjo saludos eafit tambien unio medida puede conocer comunicado  ; j : 1262. Sim : 0.4220414; No similar. 
 analisis alberto simpser experto temas corrupcion responde pregunta corrupcion mal insufrible label; j : 1263. Sim : 0.2729416; No similar. 
 conectate traves rede sociales descubre mejor informacion labelurl labelurl  ; j : 1264. Sim : 0.33304444; No similar. 
 excelente ingles claridad escribir elementos clave producir texto academico labelurl labelurl  ; j : 1265. Sim : 0.170522; No similar. 
 felizlunes continuamos conmemoracion sesquicentenraioun eventos comunidadun labelurl  ; j : 1266. Sim : 0.48307127; No similar. 
 coloquio ifaunisabana exhortacion apostolica post sinodal amoris laetitia amor familia labelurl  ; j : 1267. Sim : 0.10875262; No similar. 
 conoce panelistas participaran debate elretodelajep urosario labelurl labelurl  ; j : 1268. Sim : 0.1807151; No similar. 
 rt editorialur vivo librerialerner hablando libro memoria olvido sandra rodriguez labelurl  ; j : 1269. Sim : 0.44862103; No similar. 
 comunidadun conoce sede pulmon mundo video labelurl launpatrimoniodetodos labelurl  ; j : 1270. Sim : 0.41111383; No similar. 
 toda colombia launtransformavidas video leticia labelurl unparatodos orgulloun labelurl  ; j : 1271. Sim : 0.33379897; No similar. 
 nuevo logro jessica wake gastronomiaunisabana do medallas oro atlanta orgullosos labelurl  ; j : 1272. Sim : 0.21693246; No similar. 
 calidad ur conoce mas habito mejora continua labelurl labelurl  ; j : 1273. Sim : 0.30612332; No similar. 
 comunidadun videos politica sociedad grandes invitados estan metacampusun labelurl untelevision  ; j : 1274. Sim : 0.37992448; No similar. 
 felizmiercoles comenzar gran dia video valores agua labelurl unmanizales unimedios unparatodos  ; j : 1275. Sim : 0.49156374; No similar. 
 racionalidad enfrentar moda catastrofismo columna urrevista labelurl labelurl  ; j : 1276. Sim : 0.12165159; No similar. 
 noticiaun reconocimiento ocho porgramas auip postgradoauip launcuenta labelurl labelurl  ; j : 1277. Sim : 0.08533058; No similar. 
 comencemos dia conociendo mas bloque 41 unmedellin video click labelurl untelevision  ; j : 1278. Sim : 0.48979995; No similar. 
 universidades tendrian ofrecer espacios interaccion desarrollar capacidades escucha opinion labelur; j : 1279. Sim : 0.3184794; No similar. 
 victorgaviria urosario hablar nueva pelicula lmujerdelanimal cinerama labelurl  ; j : 1280. Sim : 0.15908635; No similar. 
 programateun semana actividades culturales auditorioleondegreiff labelurl divcultural  ; j : 1281. Sim : 0.5136526; Baja. 
 sabes patrimonio colombianos descubrelo video labelurl launpatrimoniodetodos feliz noche  ; j : 1282. Sim : 0.5088684; Baja. 
 proceso abierto sabemos mayoria grupos decide disolverse obtener resultados individualmente tp  ; j : 1283. Sim : 0.30268902; No similar. 
 conoce mas medicion solidez efectividad inversion social privada labelurl labelurl  ; j : 1284. Sim : 0.25981724; No similar. 
 comunidadun aun tiempo programarte vacaciones actividades eventos labelurl  ; j : 1285. Sim : 0.5489164; Baja. 
 felizlunes comunidadun deseamos gran dia mejor semana fotografia unmanziales unparatodos labelurl  ; j : 1286. Sim : 0.6531907; Baja. 
 hoyeneafit actividades culturales conocer china tradiciones continua fiesta primavera 2017 labelurl; j : 1287. Sim : 0.35133725; No similar. 
 rt unisabanaradio manana semanacomsabana moda academia castanopilar k1 9am moda emprendimiento mada; j : 1288. Sim : 0.42652452; No similar. 
 erradicacion lugares va ser facil lograr acuerdos comunidad vice mindefensa anibal fernandez soto f; j : 1289. Sim : 0.4072334; No similar. 
 felizjueves comencemos dia conociendo mas sedesun recorrido virtual labelurl labelurl  ; j : 1290. Sim : 0.42833924; No similar. 
 rt orgulloun premio vida obra comunidadun orgulloun labelurl labelurl  ; j : 1291. Sim : 0.22015661; No similar. 
 sumergeteun conoce magia caribe sientete orgulloso universidad campus labelurl launpatrimoniodetodo; j : 1292. Sim : 0.27738446; No similar. 
 comenzamos dia celebrando medicos veterinarios dia gracias cuidar an labelurl  ; j : 1293. Sim : 0.48074302; No similar. 
 rt educaunisabana buenos dias iniciamos 2017 fuerzas renovadasentusiasmo objetivos cumplir unisaban; j : 1294. Sim : 0.33462775; No similar. 
 preuniversitario gratuito 200 jovenes neira supia labelurl unmanizales alcaldiadeneira labelurl  ; j : 1295. Sim : 0.15627316; No similar. 
 rt grupoargos tourtuitero centroargosinnovacion demuestra compromiso filial cementosargos sostenibi; j : 1296. Sim : 0.14716762; No similar. 
 invitamos ser parte comunidadun youtube labelurl suscribete conoce mas unparatodos  ; j : 1297. Sim : 0.47369576; No similar. 
 comunidadun invitamos conocer canal oficial youtube labelurl suscribete unparatodos  ; j : 1298. Sim : 0.388424; No similar. 
 pierdan proxima semana seminario triptico saberesdevidame erase vez paraiso biodiversi labelurl  ; j : 1299. Sim : 0.6002187; Baja. 
 comunidadun esperamos sido gran inicio semana deseamos feliz noche unparatodos labelurl  ; j : 1300. Sim : 0.61542666; Baja. 
 terminamos viernes mejores gran fin semana navidad labelurl  ; j : 1301. Sim : 0.54855084; Baja. 
 rt econurosario researchday labelurl  ; j : 1302. Sim : 0.01771399; No similar. 
 feliz noche comunidadun esperamos sido gran inicio semana universidad unparatodos somosun  ; j : 1303. Sim : 0.63558304; Baja. 
 ortografia espanol labelurl  ; j : 1304. Sim : 0.33601338; No similar. 
 orgullosos corounisabana labelurl  ; j : 1305. Sim : 0.09190029; No similar. 
 terminar martes noticias gran comunidadun puedes encontrar labelurl  ; j : 1306. Sim : 0.5155736; Baja. 
 procesodepaz plebiscito labelurl  ; j : 1307. Sim : 0.16435465; No similar. 
 orgullosos ustedes labelurl  ; j : 1308. Sim : 0.085513525; No similar. 
 preguntado empresas fracasan conoce 4 razones principales labelurl labelurl  ; j : 1309. Sim : 0.10748395; No similar. 
 descubre puedes formar parte iniciativa unacartaparalapaz urosario labelurl labelurl  ; j : 1310. Sim : 0.056987286; No similar. 
 grupos culturales urosario espacios participacion integracion labelurl labelurl  ; j : 1311. Sim : 0.19913334; No similar. 
 tambien queremos torta feliz cumpleanos unisabanaradio 8 labelurl  ; j : 1312. Sim : 0.4900554; No similar. 
 profesor xsalaimartin urosario presentando libro economiaencolores econurosario labelurl  ; j : 1313. Sim : 0.040032804; No similar. 
 encuentra actividades academicas culturales toda comunidadun sede bogota aqui labelurl unbogota  ; j : 1314. Sim : 0.524149; Baja. 
 talentos musicales 2016 bienestarsabana ultima semana inscripciones labelurl  ; j : 1315. Sim : 0.42176613; No similar. 
 coloquio resultados expedicion cientifica seaflowercco 2016 isla cayo serrana 7 abril 900 be labelu; j : 1316. Sim : 0.46098396; No similar. 
 coloquio resultados expedicion cientifica seaflower 2016 isla cayo serrana 7 abril 900 be labelurl ; j : 1317. Sim : 0.446562; No similar. 
 conoces programa click uncolombia encuentra youtube capitulos descubre mas labelurl  ; j : 1318. Sim : 0.48418084; No similar. 
 encuentra repositorio digital videos gustos conoce mas labelurl  ; j : 1319. Sim : 0.35648027; No similar. 
 comunidadun conoce cuales recomendaciones formacion director musical video musicaun labelurl  ; j : 1320. Sim : 0.42967945; No similar. 
 terminar dia invitamos descargar nueva edicion unperiodico labelurl feliz noche comunidadun  ; j : 1321. Sim : 0.63539034; Baja. 
 comunidadun dias sentimos orgullosos uncolombia somosorgulloun labelurl  ; j : 1322. Sim : 0.4709738; No similar. 
 2016 unmedellin compromete comunidadun tener campus mas saludable somosun labelurl  ; j : 1323. Sim : 0.26944113; No similar. 
 conoce apropiate rede sociales utilizando tono conversacion amable comunidadun labelurl  ; j : 1324. Sim : 0.36836115; No similar. 
 hablemos promesas cumplidas incumplidas constitucion alli mandatos falla operador labelurl  ; j : 1325. Sim : 0.29045853; No similar. 
 partir hoy viernes haz parte i semana investigacion programacion labelurl  ; j : 1326. Sim : 0.65273964; Baja. 
 comunidadun sigue tip recuerda conectarte planeta ahorraun feliz jueves unparatodos labelurl  ; j : 1327. Sim : 0.5437019; Baja. 
 rt biblioeafit gustaria aprender buscar informacion calidad evaluarla citarla presentar excelente t; j : 1328. Sim : 0.28353888; No similar. 
 comunidadun nuevo capitulo playback musicaun raiz origen video labelurl untelevision  ; j : 1329. Sim : 0.3858383; No similar. 
 encuentros construyendo pais haciendo colombia pais mas competitivo gilberto qui labelurl  ; j : 1330. Sim : 0.40698415; No similar. 
 terminemos dia click arboretum palmetum leon morales soto unmedellin video labelurl feliz noche  ; j : 1331. Sim : 0.56528735; Baja. 
 campus seguro saludable compromiso bienestar integridad comunidad academica labelurl  ; j : 1332. Sim : 0.22266515; No similar. 
 camilo herrera tedx aguas envivo vealo labelurl labelurl  ; j : 1333. Sim : 0.26475605; No similar. 
 programateun actividades eventos realizadas marco sesquicentenarioun labelurl labelurl  ; j : 1334. Sim : 0.38638997; No similar. 
 programateun esperamos bogota 21 oct viene despues habitat iii habitat3followup inscribete labelurl; j : 1335. Sim : 0.28372505; No similar. 
 rt grupoargos tourtuitero centroargosinnovacion hace parte ecosistema innovacion pais labelurl  ; j : 1336. Sim : 0.30866566; No similar. 
 luces camara accion 24 agosto vamos grabar pelicula uncolombia unparatodos labelurl  ; j : 1337. Sim : 0.57333976; Baja. 
 comunidadun consulta circularun bogota encuentra programacion actividades semana labelurl  ; j : 1338. Sim : 0.68321687; Media. 
 rt filbogota 10 dias vivir filbo2017 estan preparados somoslibros conoce agendate comparte programa; j : 1339. Sim : 0.52843875; Baja. 
 hoy gran dia continuar poniendo practica consejos expresatebien comunicate mejor video labelurl  ; j : 1340. Sim : 0.6192224; Baja. 
 felizmartes comencemos dia musica playback cavito mendoza labelurl video unparatodos untelevision  ; j : 1341. Sim : 0.5505071; Baja. 
 vea stream neuronas hacen comprender demas labelurl labelurl  ; j : 1342. Sim : 0.27628914; No similar. 
 talionero hola queremos saber mas inconvenientes favor envianos informacion mensaje directo  ; j : 1343. Sim : 0.4686867; No similar. 
 hoyenelrosario iniciamos gran celebracion consulta programacion labelurl labelurl  ; j : 1344. Sim : 0.39349508; No similar. 
 salud hernandez catalina escobar pascual gaviria hector abad faciolince analistas dialogo comfama l; j : 1345. Sim : 0.36601204; No similar. 
 hoy buena parte droga producida colombia queda pais vice mindefensa anibal fernandez soto foroungas; j : 1346. Sim : 0.49837422; No similar. 
 programateun celebracion semana farmacia unbogota entrada libre programacion labelurl farmaciaun  ; j : 1347. Sim : 0.5687176; Baja. 
 feliz martes comunidadun comencemos dia descargando nueva edicion unperiodico labelurl unimedios un; j : 1348. Sim : 0.6703241; Media. 
 comunidadun conoce horarios atencion bibliotecas unbogota labelurl dirsinab labelurl  ; j : 1349. Sim : 0.33362767; No similar. 
 comunidadun conocen canal oficial youtube suscribete labelurl unparatodos feliz noche  ; j : 1350. Sim : 0.56171656; Baja. 
 rt orgulloun premio nacional fernando quinones 2015 radio orgulloun institucionalun labelurl  ; j : 1351. Sim : 0.18870993; No similar. 
 descubre puede saber tierra juego labelurl unparatodos via unimedios labelurl  ; j : 1352. Sim : 0.24983756; No similar. 
 feliz martes comunidadun diariamente recuerda conectarte mundo ahorrar energia ahorraun labelurl  ; j : 1353. Sim : 0.56327444; Baja. 
 buenviernes conoces adecuaciones estan haciendo unbogota labelurl labelurl  ; j : 1354. Sim : 0.26222628; No similar. 
 rt slondonouribe honor inmenso eafit labelurl  ; j : 1355. Sim : 0.17742172; No similar. 
 conclusiones ricardo hausmann final lacealames16 labelurl labelurl  ; j : 1356. Sim : 0.20560318; No similar. 
 felicitamos padres dia gracias amor incondicional felizdiadelpadre labelurl  ; j : 1357. Sim : 0.30406275; No similar. 
 terminemos dia articulos noticia unperiodico labelurl unparatodos feliz noche  ; j : 1358. Sim : 0.68119407; Media. 
 articulo unperiodico lengua senas colombiana aprende web orgulloun labelurl labelurl  ; j : 1359. Sim : 0.21579129; No similar. 
 iniciamos semana libro recomendado desatencion hacia dano ambiental colombia labelurl  ; j : 1360. Sim : 0.5050816; Baja. 
 sabes patrimonio colombianos descubrelo aqui video labelurl launpatrimoniodetodos somosun  ; j : 1361. Sim : 0.38443798; No similar. 
 yocanto canciones pasabordo concierto 37anosunisabana bienestarsabana labelurl  ; j : 1362. Sim : 0.14657776; No similar. 
 juan carlos contreras tedxlasaguas siga transmision vivo labelurl labelurl  ; j : 1363. Sim : 0.41915682; No similar. 
 rt eugenioprieto atentos reflexiones academia foro sosporelaire dialogo apuestas ciudadanas cientif; j : 1364. Sim : 0.30870438; No similar. 
 comunidadun finalizar dia dejamos click unidad deportiva unmanizales video labelurl  ; j : 1365. Sim : 0.54498667; Baja. 
 acompananos deja huella plazoleta rosario descubre mas labelurl plazoletaparatodos labelurl  ; j : 1366. Sim : 0.24901353; No similar. 
 comenzar semana recomendaciones formacion director musical musicaun facultadartes labelurl  ; j : 1367. Sim : 0.40930206; No similar. 
 comunidaun nueva coleccion tiendaun disponible visita filbo2017 fin semana conocela labelurl  ; j : 1368. Sim : 0.49424884; No similar. 
 decide relacionarse texto lector juan felipe cordoba editorialur mediosdigitalesur  ; j : 1369. Sim : 0.3503147; No similar. 
 simposio psicologia paz conflicto celebracion 10 anos programa psicologia ur labelurl labelurl  ; j : 1370. Sim : 0.447278; No similar. 
 muevete virtualmente forma facil dinamica atractiva practicar diferentes tipos actividad fisica lab; j : 1371. Sim : 0.3691755; No similar. 
 rt obsdemocracia atencion florencia 7 marzo compartiremos ustedes resultados barometroamericas2016 ; j : 1372. Sim : 0.51916224; Baja. 
 gracias ser parte gran comunidadun rede oficiales uncolombia mantillaignacio unimedios labelurl  ; j : 1373. Sim : 0.3781969; No similar. 
 espacios arte consulta programacion ultimos dias agosto labelurl labelurl  ; j : 1374. Sim : 0.6635753; Baja. 
 buenas noches comunidadun terminemos dia mejor actitud jueves somosun labelurl  ; j : 1375. Sim : 0.6542625; Baja. 
