Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario inconvenientes 2018 2017 eeuu ofrecemos disculpas 2016 2014 2015 inflacion marzo 
 informe diario mayo 26 2015 ordenes bienes durables eeuu caen 05 mm abril revierten alza marzo labe; j : 1. Sim : 0.61689544; Baja. 
 informe semanal octubre 9 2017 contrarrelojnlabelurl  ; j : 1637. Sim : 0.49318483; No similar. 
 informe diario junio 10 2015 alza precios crudo disminucion inventarios semana pasada labelurl  ; j : 1638. Sim : 0.54310966; Baja. 
 informe diario abril 16 2018 repuntes industria comercio confianzanlabelurl  ; j : 1639. Sim : 0.5091466; Baja. 
 cuanto situacion externa informealcongreso revela existen riesgos relacionados implementacion label; j : 1640. Sim : 0.29264864; No similar. 
 debido debiles ventas china guerra comercial tim cook dijo ventas serian alrededor usd labelurl  ; j : 1641. Sim : 0.16276436; No similar. 
 maiguashca serfinansacol finaliza intervencion ana fernanda maiguashca foro serfinansacol conoz lab; j : 1642. Sim : 0.42992052; No similar. 
 informe diario septiembre 1 2015 caixin pmi china cayo agosto 473 puntos menor dato 6 anos labelurl; j : 1643. Sim : 0.4758113; No similar. 
 informe semanal septiembre 29 2014 seguimiento marco estrategico ecopetrol labelurl  ; j : 1644. Sim : 0.47435775; No similar. 
 valetatazapata hola valetatazapata ofrecemos disculpas inconvenientes cuentanos favor mas det label; j : 1645. Sim : 0.32984355; No similar. 
 rocolenleyva1 hola rocolenleyva1 ofrecemos disculpas inconvenientes ocasionados cuentanos favor lab; j : 1646. Sim : 0.3526911; No similar. 
 carolinaochoama hola carolinaochoama ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1647. Sim : 0.29601952; No similar. 
 alejand83275769 hola alejand83275769 ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1648. Sim : 0.29700172; No similar. 
 alpesalpes3 hola alpesalpes3 ofrecemos disculpas inconvenientes ocasionados cuentanos favor mas lab; j : 1649. Sim : 0.18493411; No similar. 
 pachecorjuancho hola pachecorjuancho ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1650. Sim : 0.27104187; No similar. 
 roandres24 hola roandres24 ofrecemos disculpas inconvenientes ocasionados cuentanos favor mas d lab; j : 1651. Sim : 0.29401886; No similar. 
 dennisfernandoc hola dennisfernandoc ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1652. Sim : 0.29684222; No similar. 
 lalachernandez hola lalachernandez ofrecemos disculpas inconvenientes cuentanos favor mas det label; j : 1653. Sim : 0.2670294; No similar. 
 jhonyhernandez hola jhonyhernandez ofrecemos disculpas inconvenientes cuentanos favor mas det label; j : 1654. Sim : 0.22377263; No similar. 
 davidsepulveda hola davidsepulveda ofrecemos disculpas inconvenientes cuentanos favor mas det label; j : 1655. Sim : 0.3331338; No similar. 
 carlosa76805000 hola carlosa76805000 ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1656. Sim : 0.33463708; No similar. 
 jairovilladiego hola jairovilladiego ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1657. Sim : 0.35925207; No similar. 
 oscarcalderon16 hola oscarcalderon16 ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1658. Sim : 0.374471; No similar. 
 fabioaroca hola fabioaroca ofrecemos disculpas inconvenientes ocasionados cuentanos favor mas d lab; j : 1659. Sim : 0.25073305; No similar. 
 jorgeivalvarado hola jorgeivalvarado ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1660. Sim : 0.25369653; No similar. 
 andresmrinconch hola andresmrinconch ofrecemos disculpas inconvenientes cuentanos favor mas det lab; j : 1661. Sim : 0.2421967; No similar. 
 jorgeariasm industriaycomer hola jorgeariasmte ofrecemos disculpas inconvenientes cuentanos favor l; j : 1662. Sim : 0.3457203; No similar. 
 informe diario junio 13 2018 feed preve do alzas adicionales tasa inter 2018nlabelurl  ; j : 1663. Sim : 0.5715148; Baja. 
 informe inflacion septiembre 8 2016 caida librenlabelurl  ; j : 1664. Sim : 0.5366434; Baja. 
 andrespardoa mercado confunde mensajes feed lee cuidado diciendo leer interpre  ; j : 1665. Sim : 0.1636058; No similar. 
 yumaagsa1 lisspereira claroteayuda hola yumaagsa1 ofrecemos disculpas inconvenientes cuentanos po l; j : 1666. Sim : 0.31166; No similar. 
 informe renta fija agosto 15 2014 cambio chip labelurl  ; j : 1667. Sim : 0.31966543; No similar. 
 informealcongreso revela nivel interno espera impulso proveniente inversion obras civiles labelurl ; j : 1668. Sim : 0.21859471; No similar. 
 kabeto123 sfcsupervisor fogafin minhacienda asobancaria hola kabeto123 ofrecemos disculpas incon la; j : 1669. Sim : 0.27184108; No similar. 
 informe diario noviembre 13 2018 opep preve exceso oferta mercado crudo 2019nlabelurl  ; j : 1670. Sim : 0.54710305; Baja. 
 informe diario diciembre 19 2018 aprobada ley financiamiento congresonlabelurl  ; j : 1671. Sim : 0.4496389; No similar. 
 informe diario marzo 13 2017 kuwait da conocer inter extender acuerdo opepnlabelurl  ; j : 1672. Sim : 0.60854065; Baja. 
 jsalasmadrid despedido arbitraria injustamente companero fiscal uso nacional ariel corso diaznmient; j : 1673. Sim : 0.16577345; No similar. 
 mariorobertop hola mario realizaste retiro total cesantias  ; j : 1674. Sim : 0.27797592; No similar. 
 informe diario octubre 21 2015 inventarios petroleo eeuu volvieron subir 4686 millones barrilesnlab; j : 1675. Sim : 0.5951932; Baja. 
 pensaste cesantias pueden ayudar lograr propositos 2017 conseguir prosperidad dese labelurl  ; j : 1676. Sim : 0.14108177; No similar. 
 banco central europeo bce decidio mantener tipos inter 00 ultima reunion politica labelurl  ; j : 1677. Sim : 0.28901175; No similar. 
 informe diario abril 1 2019 parlamento rechaza alternativas brexitnlabelurl  ; j : 1678. Sim : 0.46251935; No similar. 
 haroldacostale hola haroldacostale ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1679. Sim : 0.26091808; No similar. 
 sinperfeccion hola sinperfeccion ofrecemos disculpas inconvenientes cuentanos favor mas detal label; j : 1680. Sim : 0.29676625; No similar. 
 anaristizabalc hola anaristizabalc ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1681. Sim : 0.22248729; No similar. 
 sinperfeccion hola sinperfeccion ofrecemos disculpas inconvenientes cuentanos favor mas detal label; j : 1682. Sim : 0.29676625; No similar. 
 luchigeraldino hola luchigeraldino ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1683. Sim : 0.28928626; No similar. 
 katherinmendez hola katherinmendez ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1684. Sim : 0.27691114; No similar. 
 jkarinacortesr hola jkarinacortesr ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1685. Sim : 0.35007077; No similar. 
 andresfelileon hola andresfelileon ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1686. Sim : 0.3858882; No similar. 
 jenarosportlab hola jenarosportlab ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1687. Sim : 0.27723333; No similar. 
 joseluisbueno8 hola joseluisbueno8 ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1688. Sim : 0.37677997; No similar. 
 lauramarcelac hola lauramarcelac ofrecemos disculpas inconvenientes cuentanos favor detal labelurl ; j : 1689. Sim : 0.22689831; No similar. 
 guatamericardo hola guatamericardo ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1690. Sim : 0.29133296; No similar. 
 carolinaayalav hola carolinaayalav ofrecemos disculpas inconvenientes cuentanos favor mas detal lab; j : 1691. Sim : 0.30371267; No similar. 
 juanfcamargo hola juanfcamargo ofrecemos disculpas inconvenientes cuentanos favor mas detal labelur; j : 1692. Sim : 0.2759468; No similar. 
 informe diario enero 15 2014 positivos datos economicos corporativos impulsan bolsas maximos histor; j : 1693. Sim : 0.5456063; Baja. 
 kalabazaavila hola kalabazaavila ofrecemos disculpas inconvenientes cuentanos favor mas detal label; j : 1694. Sim : 0.35131285; No similar. 
 informe diario diciembre 6 2017 adp creacion empleo privado modera eeuunlabelurl  ; j : 1695. Sim : 0.56389904; Baja. 
 informe diario agosto 4 2015 ipp colombia cayo 124 mm julio inferior 205 mm junionlabelurl  ; j : 1696. Sim : 0.4481187; No similar. 
 informedemercadojulio2018ndurante julio rentabilidad portafolios pension voluntarias porvenir s lab; j : 1697. Sim : 0.29644105; No similar. 
 informe diario junio 12 2018 mercados neutrales tras acuerdo eeuu corea nortenlabelurl  ; j : 1698. Sim : 0.62266505; Baja. 
 andrespardoa colombia segun eoic andicolombia produccion crecio 38 ventas crecieron 5 marzo  ; j : 1699. Sim : 0.3220762; No similar. 
 informe diario mayo 17 2016 confianza consumidor colombia completa cuatro meses terreno negativo la; j : 1700. Sim : 0.5670006; Baja. 
 informe diario octubre 13 2016 datos china influencian desvalorizaciones globales labelurl  ; j : 1701. Sim : 0.5391552; Baja. 
 informe diario julio 5 2018 miembros feed estan atentos tensiones comercialesnlabelurl  ; j : 1702. Sim : 0.42141965; No similar. 
 informe diario febrero 4 2015 banco central china une ola relajamiento monetario global labelurl  ; j : 1703. Sim : 0.38837966; No similar. 
 informe semanal julio 18 2016 pausa aroma finnlabelurl  ; j : 1704. Sim : 0.45583853; No similar. 
 informe diario junio 13 2016 fmi demuestra respaldo politica economica colombia labelurl  ; j : 1705. Sim : 0.668976; Baja. 
 datos empleo eeuu levemente debajo expectativas continuan soportando alzas tasas labelurl  ; j : 1706. Sim : 0.39301997; No similar. 
 angelicmts hola angelicmts gracias escribirnos ofrecemos disculpas inconvenientes ocasionados label; j : 1707. Sim : 0.28951097; No similar. 
 dopaminiel hola dopaminiel gracias escribirnos ofrecemos disculpas inconvenientes ocasionados label; j : 1708. Sim : 0.34143132; No similar. 
 antoniopazc hola antoniopazc gracias escribirnos ofrecemos disculpas inconvenientes ocasionados lab; j : 1709. Sim : 0.23473388; No similar. 
 jorlandohdez hola jorlandohdez gracias escribirnos ofrecemos disculpas inconvenientes ocasionad lab; j : 1710. Sim : 0.3636353; No similar. 
 mayuspulido hola mayuspulido gracias escribirnos ofrecemos disculpas inconvenientes ocasionados lab; j : 1711. Sim : 0.28530326; No similar. 
 groovyrico hola groovyrico gracias escribirnos ofrecemos disculpas inconvenientes ocasionados label; j : 1712. Sim : 0.26689413; No similar. 
 jorgegordillo3 martinezgaf schaoficial sicsuper sicresponde hola jorgegordillo3 ofrecemos disculpas; j : 1713. Sim : 0.2040126; No similar. 
 robertsolart hola robertsolart gracias escribirnos ofrecemos disculpas inconvenientes ocasionad lab; j : 1714. Sim : 0.2877525; No similar. 
 realidadcucuta hola realidadcucuta gracias escribirnos ofrecemos disculpas inconvenientes cuen labe; j : 1715. Sim : 0.29617757; No similar. 
 cflopera095 hola cflopera095 gracias escribirnos ofrecemos disculpas inconvenientes ocasionado labe; j : 1716. Sim : 0.32346362; No similar. 
 informe semanal junio 12 2018 ser pilo paga labelurl  ; j : 1717. Sim : 0.45130572; No similar. 
 hoy romerovaron sera encargado mostrarnos sorpresas fepconaval ano atentos  ; j : 1718. Sim : 0.28187302; No similar. 
 informe semanal diciembre 18 2017 breve pausa navidena labelurl  ; j : 1719. Sim : 0.48758775; No similar. 
 despues 18 anos modifica regulacion cambiaria codirector gerardohernandez explicara labelurl  ; j : 1720. Sim : 0.44005173; No similar. 
 seminario xiv revista espe desafios politica fiscal frente reciente incertidumbre macroeconomica la; j : 1721. Sim : 0.41675442; No similar. 
 andrespardoa eeuu condiciones mercado laboral siguieron mostrando mejoria tasa desempleo cambio fee; j : 1722. Sim : 0.3411316; No similar. 
 reportesdelemisor credito primer trimestre intermediarios financieros percibieron labelurl  ; j : 1723. Sim : 0.2951616; No similar. 
 informe diario agosto 27 2018 analistas revisan alnalza pronostico crecimiento 2018nnlabelurl  ; j : 1724. Sim : 0.5803; Baja. 
 reino unido alcanzo acuerdo preliminar negociaciones brexit union europea permitiendole tener label; j : 1725. Sim : 0.17281361; No similar. 
 informe diario agosto 29 2018 pgn 2019 desfinanciado 256 billones pesosnlabelurl  ; j : 1726. Sim : 0.304416; No similar. 
 informe diario octubre 11 2016 aie suministro global crudo aumento septiembrenlabelurl  ; j : 1727. Sim : 0.47625616; No similar. 
 publicaciones informe especial estabilidadfinanciera segundo semestre 2017 analisis cartera m label; j : 1728. Sim : 0.3708943; No similar. 
 informe diario septiembre 26 2018 feed eleva proyecciones crecimientonlabelurl  ; j : 1729. Sim : 0.4585812; No similar. 
 informe diario febrero 18 2019 europa dispuesta contraatacarnlabelurl  ; j : 1730. Sim : 0.4286246; No similar. 
 informe diario septiembre 12 2016 opiniones mixtas miembros feed aumento tasanlabelurl  ; j : 1731. Sim : 0.4660589; No similar. 
 planetaazul consumo agua cada vez ocupa lugares mas importantes dentro empresas colombiaes m labelu; j : 1732. Sim : -0.08547504; No similar. 
 informe inflacion enero 22 2018 pasion futbolnlabelurl  ; j : 1733. Sim : 0.53116554; Baja. 
 informe diario octubre 22 2015 colombia mejora confianza industrial septiembrenlabelurl  ; j : 1734. Sim : 0.55818117; Baja. 
 andrespardoa colombia produccion industrial crecio 16 julio 2014  ; j : 1735. Sim : 0.36685345; No similar. 
 informe diario agosto 31 2015 report eia opep motivaron fuertes aumentos precio petroleo hoy labelu; j : 1736. Sim : 0.63108176; Baja. 
 banrepcultural ganamos ndos proyectos resultaron ganadores digital humanities award 2017el cancione; j : 1737. Sim : 0.10226913; No similar. 
 conozca efectos tendrian medidas propuestas proyecto ley financiamiento materia fiscal labelurl  ; j : 1738. Sim : 0.1988032; No similar. 
 ejemplo cursiva ver anagabrielrl 30 marzo experienciasaval pense labelurl  ; j : 1739. Sim : 0.25751114; No similar. 
 informe diario febrero 11 2015 posicion troika causa rebote mercados europeos labelurl  ; j : 1740. Sim : 0.4964353; No similar. 
 informe diario diciembre 1 2014 moodys rebaja aa3 a1 calificacion soberana japon labelurl  ; j : 1741. Sim : 0.5287234; Baja. 
 sebasp416 ubique tesoreria banco republica mas cercana alli evaluaran  ; j : 1742. Sim : 0.2761474; No similar. 
 andrespardoa revisamos alza pronostico senda inflacion 2016 maximo 86 junio 53 diciembre labelurl  ; j : 1743. Sim : 0.51998806; Baja. 
 informe juntabanrep congresodecol profundiza comportamiento inflacion mercado laboral balance label; j : 1744. Sim : 0.4264568; No similar. 
 informe diario octubre 12 2016 alza tasas seria relativamente pronto feed labelurl  ; j : 1745. Sim : 0.5099818; Baja. 
 informe diario noviembre 26 2015 primer ministro china comento busca abrir mas mercado capitales la; j : 1746. Sim : 0.4472158; No similar. 
 estadisticas resultados encuesta trimestral situaciondelcredito colombia septiembre 2017 labelurl  ; j : 1747. Sim : 0.5196037; Baja. 
 estadisticas resultados encuesta trimestral situaciondelcredito colombia diciembre 2017 labelurl  ; j : 1748. Sim : 0.51690143; Baja. 
 informe diario marzo 23 2017 colombia confianza industrial comercial deterioraronnlabelurl  ; j : 1749. Sim : 0.48921034; No similar. 
 informe inflacion marzo 11 2016 lejos cantar victoria labelurl  ; j : 1750. Sim : 0.5101013; Baja. 
 andrespardoa luego decision bancorepublica esperamos tasa intervencion mantenga 775 resta  ; j : 1751. Sim : 0.2266009; No similar. 
 monitor fiscal diciembre 13 2017 panos agua tibianlabelurl  ; j : 1752. Sim : 0.35779908; No similar. 
 informe diario septiembre 17 2018 cae indice confianza consumidor agostonlabelurl  ; j : 1753. Sim : 0.57484484; Baja. 
 invitamos conozcas nuevas lineas telefonicas nivel nacional labelurl  ; j : 1754. Sim : 0.17493382; No similar. 
 informe diario abril 27 2015 agencia fitch redujo calificacion crediticia japon labelurl  ; j : 1755. Sim : 0.55772305; Baja. 
 publicacionesbanrep informe especial estabilidadfinanciera segundo semestre 2017 concentracion comp; j : 1756. Sim : 0.2663989; No similar. 
 acuerdo informe realizado departamento trabajo ganancias promedio aumentaron 04 mm labelurl  ; j : 1757. Sim : 0.38270727; No similar. 
 top3deimpactoeconomicon1inflacion zona eurocontinuo siendo moderadan2canada eeuuestarian cerca labe; j : 1758. Sim : 0.051307015; No similar. 
 eventosclavedelajornadademananan eeuu 845markit pmi serviciosn eeuu 930 inventarios crudo doe label; j : 1759. Sim : 0.38746715; No similar. 
 segun reporte oficina nacional estadisticas produccion industrial ventas minoristas chin labelurl  ; j : 1760. Sim : 0.40810883; No similar. 
 eventosclavedelajornadademananancolombia 1000 tasa desempleo septnzona euro 0500 inflacion oct labe; j : 1761. Sim : 0.31910026; No similar. 
 reportesdelemisor reporte mercados financieros 2t18 senala nivel local presento panorama par labelu; j : 1762. Sim : 0.29639003; No similar. 
 lisa schineller afirma economia norteamericana moderara crecimiento 2019 hacia 23 despues labelurl ; j : 1763. Sim : 0.29030675; No similar. 
 informe diario enero 14 2015 banco mundial redujo pronosticos crecimiento global 34 3 2015nlabelurl; j : 1764. Sim : 0.50157183; Baja. 
 informe diario febrero 27 2018 perspectivas economicas powell fortalecidonlabelurl  ; j : 1765. Sim : 0.56697696; Baja. 
 informe diario octubre 29 2014 feed da finalizado qe3 utiliza lenguaje mas alcista labelurl  ; j : 1766. Sim : 0.45207968; No similar. 
 informe diario febrero 10 2015 futuro grecia manos comision europea labelurl  ; j : 1767. Sim : 0.5014454; Baja. 
 informe diario enero 20 2015 fmi reduce estimacion crecimiento economico global 2015 labelurl  ; j : 1768. Sim : 0.611645; Baja. 
 informe diario mayo 7 2018 trump anunciara manana decision acuerdo irannlabelurl  ; j : 1769. Sim : 0.59293264; Baja. 
 buscas opciones ahorro inversion nnte presentamos nuevas alternativas renta fija labelurl  ; j : 1770. Sim : 0.1277869; No similar. 
 andrespardoa eeuu nueva desaceleracion inflacion agosto medida traves ipc total bajo 2 17 nucleo  ; j : 1771. Sim : 0.49487007; No similar. 
 sindicatoetb etbnosevende trabajadores unidos venceremos labelurl  ; j : 1772. Sim : 0.072793856; No similar. 
 diannadelpi hola diannadelpi gracias escribirnos ofrecemos disculpas inconvenientes cuentano labelu; j : 1773. Sim : 0.42677915; No similar. 
 fernanmarkez hola fernanmarkez gracias escribirnos ofrecemos disculpas inconvenientes cuentano labe; j : 1774. Sim : 0.22971861; No similar. 
 30 junio ano curso multinacional masa stork entregara ecopetrol campo dks produccion ga labelurl  ; j : 1775. Sim : 0.29920757; No similar. 
 informe semanal noviembre 3 2015 mal necesario labelurl  ; j : 1776. Sim : 0.4216599; No similar. 
 colombia tasa desempleo bajo 84 septiembre 06 puntos debajo reportada hace 12 meses continua buena ; j : 1777. Sim : 0.30276763; No similar. 
 informe inflacion enero 24 2017 temporada navidena nlabelurl  ; j : 1778. Sim : 0.5456505; Baja. 
 informe diario julio 23 2015 dato anticipado confianza consumidor eurozona julio cae fuertemente la; j : 1779. Sim : 0.51965564; Baja. 
 informe inflacion junio 14 2017 volviendo cauce nlabelurl  ; j : 1780. Sim : 0.53225154; Baja. 
 informe diario julio 27 2016 feed abre puertas aumentar tasas septiembre nlabelurl  ; j : 1781. Sim : 0.4835721; No similar. 
 informe diario septiembre 4 2014 bce baja tasas inter inicia programa relajamiento cuantitativo lab; j : 1782. Sim : 0.51504016; Baja. 
 informe diario marzo 11 2019 continua incertidumbre votacion brexitnlabelurl  ; j : 1783. Sim : 0.5251259; Baja. 
 mejores dj acompanando noche calida nightrace10k labelurl  ; j : 1784. Sim : 0.048332386; No similar. 
 adolfomeisel afirma frente noviembre2017 flujos inversion extranjera mantienen terminos simi labelu; j : 1785. Sim : 0.34516463; No similar. 
 andrespardoa colombia banco republica mantiene tasa inter 325 linea expectativa  ; j : 1786. Sim : 0.23458695; No similar. 
 informe diario febrero 19 2019 confianza consumidor continua terreno negativonlabelurl  ; j : 1787. Sim : 0.37550044; No similar. 
 informe diario enero 17 2019 confianza consumidor continua terreno negativonlabelurl  ; j : 1788. Sim : 0.46294683; No similar. 
 informe semanal octubre 17 2017 dilemas fednlabelurl  ; j : 1789. Sim : 0.5275661; Baja. 
 informe diario marzo 15 2018 confianza consumidor continua terreno negativonlabelurl  ; j : 1790. Sim : 0.43512288; No similar. 
 indice precios consumidor ipc eeuu linea expectativas mercado octubre labelurl  ; j : 1791. Sim : 0.5057193; Baja. 
 informe diario enero 18 2016 moodys redujo evaluacion credito ecopetrol baa3 ba3 labelurl  ; j : 1792. Sim : 0.6243215; Baja. 
 andrespardoa eeuu inflacion total deflactor pce 16 nucleo 15 julio presiones inflacionarias debajo ; j : 1793. Sim : 0.44275028; No similar. 
 miguelalejopaez hola miguelalejopaez ofrecemos disculpas inconvenientes cuentanos favor mas labelur; j : 1794. Sim : 0.31814173; No similar. 
 sicrees haras diferencia solo pensarlo lograrlo  ; j : 1795. Sim : 0.0664737; No similar. 
 informe diario agosto 22 2016 petroleo inicio semana retroceso 3nlabelurl  ; j : 1796. Sim : 0.562001; Baja. 
 andrespardoa expectativa tasas inter eeuu luego positivos datos mercado laboral junio labelurl  ; j : 1797. Sim : 0.3963268; No similar. 
 informe diario agosto 5 2015 inflacion julio 019 mm 446 aa esperabamos 020 mmnlabelurl  ; j : 1798. Sim : 0.54491997; Baja. 
 informe inflacion junio 16 2015 punto inflexion pronostico junio 014 mm 446 aa labelurl  ; j : 1799. Sim : 0.56979775; Baja. 
 informe renta variable noviembre 17 2015 constructoras cementeras impulso certero labelurl  ; j : 1800. Sim : 0.34169918; No similar. 
 copusd abrio 2935 retrocede 2881 luego conocerse ism mas debil eeuu labelurl  ; j : 1801. Sim : 0.36755738; No similar. 
 tras publicacion parte unidos lista 1300 productos provenientes china valor 5 labelurl  ; j : 1802. Sim : 0.15847702; No similar. 
 tras inesperado anuncio unidos mantener amenaza imponer aranceles importaciones chi labelurl  ; j : 1803. Sim : 0.13533199; No similar. 
 eventosclavedelajornadademananan eeuu 8 markit pmi servicios eeuu 930 inventarios crudo doe labelur; j : 1804. Sim : 0.35725096; No similar. 
 informe semanal octubre 2 2017 fortaleza mercado accionario estadounidensenlabelurl  ; j : 1805. Sim : 0.41837934; No similar. 
 producto interno bruto pib unidos crecio 23 aa primer trimestre 2018 ubicandose labelurl  ; j : 1806. Sim : 0.23934367; No similar. 
 mercado renta fija renta variable presentado buen comportamiento pasado recient labelurl  ; j : 1807. Sim : 0.08818661; No similar. 
 miguel amador tricampeon titulo bodytech12k 2016 felicidades atleta labelurl  ; j : 1808. Sim : 0.20006679; No similar. 
 informe semanal mayo 15 2017 peso reformanlabelurl  ; j : 1809. Sim : 0.37842318; No similar. 
 patton genial nueva imagen bancosaval 4 flechitas bien distribuidas coherente servicios innovadores; j : 1810. Sim : 0.008719619; No similar. 
 andresmania escuela impresionante mejor grupo financiero recien formado comprendi principio importa; j : 1811. Sim : 0.13021837; No similar. 
 informe diario julio 26 2018 draghi preve solido crecimiento eurozonanlabelurl  ; j : 1812. Sim : 0.58412945; Baja. 
 informe inflacion marzo 12 2015 presiones transitorias pronostico marzo 065 mm 460 aa labelurl  ; j : 1813. Sim : 0.6044037; Baja. 
 andrespardoa bancorepublica sube tasa inter intervencion 6 625 linea expectativa  ; j : 1814. Sim : 0.24832705; No similar. 
 sabias humedales indispensables tener unplanetaazul abastecen agua dulcena ciudade labelurl  ; j : 1815. Sim : -0.09257416; No similar. 
 informe diario julio 12 2016 colombia tercer emergente mas atractivo invertirnlabelurl  ; j : 1816. Sim : 0.46410978; No similar. 
 jaime sabe perfectamente multiportafolios cuenta conoce mas labelurl labelurl  ; j : 1817. Sim : 0.107237324; No similar. 
 informe diario agosto 2 2016 exportaciones colombianas cayeron 154 aa junionlabelurl  ; j : 1818. Sim : 0.46828976; No similar. 
 informe semanal mayo 12 2014 tan claro labelurl  ; j : 1819. Sim : 0.40852854; No similar. 
 informe diario enero 29 2014 feed redujo compra mensual titulos 10 mil millones segun anticipamos l; j : 1820. Sim : 0.4481805; No similar. 
 informe semanal marzo 27 2017 escepticismo crecientenlabelurl  ; j : 1821. Sim : 0.56222093; Baja. 
 informe semanal octubre 30 2017 oscuro amanecernlabelurl  ; j : 1822. Sim : 0.4638797; No similar. 
 lauramalicia hola lauramalicia ofrecemos disculpas inconvenientes cuentanos favor si aun pers label; j : 1823. Sim : 0.30454078; No similar. 
 informe diario enero 16 2019 theresa may supero mocion censuranlabelurl  ; j : 1824. Sim : 0.42220894; No similar. 
 informe diario diciembre 7 2015 petroleo minimo 6 anos empujo dolar maximo historico copusd 3324 nl; j : 1825. Sim : 0.5306952; Baja. 
 andrespardoa banco central europeo recorta tasa referencia 015 tasa deposito 01 linea expectati  ; j : 1826. Sim : 0.117224224; No similar. 
 bbanrepeduca tres instituciones educativas cuyos equipos finalistas concurso banca esc labelurl  ; j : 1827. Sim : 0.030351864; No similar. 
 alpuntojl ultimo mes comportamiento positivo niveles us73 74 barril jose ocampo banc  ; j : 1828. Sim : 0.389292; No similar. 
 informe diario noviembre 16 2017 camara representantes aprobo reforma fiscalnlabelurl  ; j : 1829. Sim : 0.5571745; Baja. 
 informe semanal enero 22 2018 suavecito abajonlabelurl  ; j : 1830. Sim : 0.37895194; No similar. 
 informe diario abril 16 2015 confianza consumidor colombia deterioro sorpresivamente marzo labelurl; j : 1831. Sim : 0.6308881; Baja. 
 informe semanal octubre 24 2016 queme consumonlabelurl  ; j : 1832. Sim : 0.5073065; Baja. 
 pipegonzalez hola pipegonzalez ofrecemos disculpas inconvenientes cuentanos favor mas detalle label; j : 1833. Sim : 0.31484014; No similar. 
 mariajgomez13 hola mariajgomez13 ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1834. Sim : 0.32695532; No similar. 
 lovrruinetodo hola lovrruinetodo ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1835. Sim : 0.30190262; No similar. 
 periodismojga hola periodismojga ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1836. Sim : 0.32829145; No similar. 
 jennifermuoza hola jennifermuoza ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1837. Sim : 0.3015565; No similar. 
 marieescobarp hola marieescobarp ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1838. Sim : 0.35685936; No similar. 
 johnhurtadoga hola johnhurtadoga ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1839. Sim : 0.32463962; No similar. 
 specialjuan11 hola specialjuan11 ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1840. Sim : 0.42283085; No similar. 
 erimartinez99 hola erimartinez99 ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1841. Sim : 0.31948122; No similar. 
 gabrieljara88 hola gabrieljara88 ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1842. Sim : 0.35030738; No similar. 
 sariitaflorez hola sariitaflorez ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1843. Sim : 0.350431; No similar. 
 rojo1927jorge hola rojo1927jorge ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1844. Sim : 0.30332455; No similar. 
 joseangarita hola joseangarita ofrecemos disculpas inconvenientes cuentanos favor mas detalle label; j : 1845. Sim : 0.29007354; No similar. 
 paitoarboleda hola paitoarboleda ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1846. Sim : 0.34506756; No similar. 
 kathrynjsaenz hola kathrynjsaenz ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1847. Sim : 0.29662764; No similar. 
 leonardo08311 hola leonardo08311 ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1848. Sim : 0.33522052; No similar. 
 alvarosolanoe hola alvarosolanoe ofrecemos disculpas inconvenientes cuentanos favor mas detalle lab; j : 1849. Sim : 0.36207277; No similar. 
 luisa fernanda lafourie destruyendo valor cenit labelurl labelurl  ; j : 1850. Sim : 0.10941192; No similar. 
