Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu inconvenientes 2018 inflacion 2017 2014 ofrecemos disculpas tasa 
 andrespardoa eeuu crearon 175 mil empleos netos febrero vs esperado 149 mil tasa desempleo subio 67; j : 1. Sim : 0.44143924; No similar. 
 top 3 impacto economico mercado accionario inicia semana recuperacion opep preve mercado p labelurl; j : 2441. Sim : 0.2979876; No similar. 
 top3deimpactoeconomicon1cae produccion industrial zona euro novn2continua cierre gobierno est label; j : 2442. Sim : 0.27276087; No similar. 
 andrespardoa colombia opinion minutas bancorepublica sugieren habra nueva alza tasa referencia juni; j : 2443. Sim : 0.54523176; Baja. 
 andrespardoa colombia crecera 5 2014 cepal labelurl via elespectador q une nuesto pronosticoel juev; j : 2444. Sim : 0.34764403; No similar. 
 funcionara criptomoneda descubra perspectivas economicas mauricio reina frente tema haciendo c labe; j : 2445. Sim : 0.33051014; No similar. 
 ecopetrolsa resultadosecopetrol utilidad neta seis primeros meses llego 61 billones mismo periodo 2; j : 2446. Sim : 0.23396108; No similar. 
 esperanzaricol danecolombia rcnradio bancorepublica pidio danecolombia reunion asi entender re labe; j : 2447. Sim : 0.36497837; No similar. 
 andrespardoa porquenosubirtasas 2h mayor desaceleracion economica contribuye reducir deficit extern; j : 2448. Sim : 0.4077682; No similar. 
 foro corficolombiana perspectivas economicas 2016 cruda realidad stream momentos labelurl  ; j : 2449. Sim : 0.2843669; No similar. 
 iambryanperez cuenta trm 2 marzo 2018 287905 pesos colombianos dolar estadouni labelurl  ; j : 2450. Sim : 0.29329783; No similar. 
 informesobreinflacion juanjoseechavarria explico julio 2016 julio 2017 inflacion paso d labelurl  ; j : 2451. Sim : 0.37867206; No similar. 
 invitamos estudiantes grados 10 11 12 pensar miembros junta bancorepublica ensay labelurl  ; j : 2452. Sim : 0.08713787; No similar. 
 codirector adolfomeisel senala segunda mitad siglo mujeres mostraron mejoras significativas labelur; j : 2453. Sim : 0.21828836; No similar. 
 informe diario julio 6 2015 grecia rechaza condiciones troika acceder nuevo rescate financiero labe; j : 2454. Sim : 0.3572832; No similar. 
 letocayo hiperinflacion venezuela medida sirve caso colombia diferente tenem labelurl  ; j : 2455. Sim : 0.4333219; No similar. 
 informe diario abril 24 2014indices accionarios globales valorizaron medio datos economicos positiv; j : 2456. Sim : 0.4306345; No similar. 
 andrespardoa ucrania precios alimentos energeticos corficolombiana infsemanalmar 10 2014 mas alla c; j : 2457. Sim : 0.44547006; No similar. 
 andrespardoa colombia 3er miembro bancorepublica cree q crecimiento pib 2014 sera mayor pronostico ; j : 2458. Sim : 0.5156852; Baja. 
 nominas enero crearon 200 mil nuevos puestos trabajo frente expectativa 180 mil superando igua labe; j : 2459. Sim : 0.26331517; No similar. 
 segun reporte oficina nacional estadisticas produccion industrial ventas minoristas chin labelurl  ; j : 2460. Sim : 0.47565043; No similar. 
 invitamos conectarse foro perspectivas economicas 2019 proximo 5 diciembre 730 labelurl  ; j : 2461. Sim : 0.32176012; No similar. 
 consulte minutas reunion juntabanrep pasado jueves 31 enero decidio mantener labelurl  ; j : 2462. Sim : 0.32259682; No similar. 
 reportesdelemisor cuanto tributa efectivamente colombia carga tributaria pais mayor menor q labelur; j : 2463. Sim : 0.40115127; No similar. 
 andrespardoa eeuu cambios sutiles proyecciones inflacion desempleo proximos 2 anos ligeramente mejo; j : 2464. Sim : 0.4881468; No similar. 
 bancorepublica presenta miercoles 27 junio libro ensayos crecimiento economico colombia cuyo labelu; j : 2465. Sim : 0.40891263; No similar. 
 andrespardoa porquenosubirtasas 1d ampliacion linea credito fmi aumenta escudo reservas internacion; j : 2466. Sim : 0.52122283; Baja. 
 inicies nuevo proyecto identifica posibles riesgos intenta aportar soluciones cada labelurl  ; j : 2467. Sim : -0.02791769; No similar. 
 informe renta fija agosto 15 2014 cambio chip labelurl  ; j : 2468. Sim : 0.2542292; No similar. 
 maiguashca serfinansacol sintomas factor inerciales inflacion ido disipandonla inflacion c labelurl; j : 2469. Sim : 0.49467167; No similar. 
 publicacionesbanrep informe especial estabilidadfinanciera segundo semestre 2017 riesgo credito lab; j : 2470. Sim : 0.31057206; No similar. 
 andrespardoa analisis mercado deuda publica 1 reduccion tensiones geopoliticas favoreceran tes labe; j : 2471. Sim : 0.58075964; Baja. 
 andrespardoa porquenosubirtasas 5a mayoria codirectores cree q alza previas sido importantes puede ; j : 2472. Sim : 0.3403731; No similar. 
 primer trimestre ano producto interno bruto pib alemania registro crecimiento trimestral 0 labelurl; j : 2473. Sim : 0.36426687; No similar. 
 informe semanal agosto 3 2015 credibilidad debe usarnlabelurl  ; j : 2474. Sim : 0.31336305; No similar. 
 portafolios menor riesgo vieron beneficiados titulos deuda publica corto plazo conoce aqui labelurl; j : 2475. Sim : 0.31137607; No similar. 
 colombia tasa empleo subio 592 septiembre vs 58 hace ano tasa participacion laboral tambien aumento; j : 2476. Sim : 0.55892766; Baja. 
 banrepeduca actividad bancaria netamente privada ano 1880 creo banco nacion labelurl  ; j : 2477. Sim : 0.31663522; No similar. 
 deficit fiscal tambien reducido despues choque petrolero pasar 40 2016 36 2017 p labelurl  ; j : 2478. Sim : 0.41986123; No similar. 
 andrespardoa analisis mensual expectativas comportamiento mercado deuda publica colombia labelurl  ; j : 2479. Sim : 0.58104783; Baja. 
 tragaentero acaso sienten silencio mediatico calculado vergonzosa propuesta comisionista consejogre; j : 2480. Sim : 0.36302775; No similar. 
 pronosticos crecimiento pib colombiano 27 2018 mas alta 2019 apostaria 3 labelurl  ; j : 2481. Sim : 0.41787577; No similar. 
 tasas inter comerciales hipotecarias dtf bajado significativamente gracias politica mon labelurl  ; j : 2482. Sim : 0.3512581; No similar. 
 uso ratifica pozo lizama 158 totalmente controlado afloramiento crudo gas ter labelurl  ; j : 2483. Sim : 0.03017034; No similar. 
 actividad economica region centro arrojo resultados mixtos finalizar 2017 enterese labelurl  ; j : 2484. Sim : 0.35667226; No similar. 
 reportesdelemisor expectativas inflacion 2019 acuerdo encuesta realizada mediados marz labelurl  ; j : 2485. Sim : 0.41637734; No similar. 
 presidente unidos donald trump firmo imposicion aranceles importaciones acero alum labelurl  ; j : 2486. Sim : 0.25816527; No similar. 
 si firmas manufactureras menos productivas incrementaran productividad promedio sector producci lab; j : 2487. Sim : 0.25540894; No similar. 
 andrespardoa sera bancorepublica preparando pausa politica subir tasa inter analisis labelurl  ; j : 2488. Sim : 0.48856625; No similar. 
 fuerte creacion nominas febrero crearon 313 mil nuevos puestos trabajo frente expectativa 205 label; j : 2489. Sim : 0.21197802; No similar. 
 reportesdelemisor reporte mercados financieros 2t18 senala nivel local presento panorama par labelu; j : 2490. Sim : 0.32066062; No similar. 
 jaocampo termino desaceleracion demanda crecimiento economico generada choque petrolero crecimient ; j : 2491. Sim : 0.35682338; No similar. 
 informe diario noviembre 21 2016 petroleo inicio semana incremento 4 labelurl  ; j : 2492. Sim : 0.33730772; No similar. 
 bandrespardoa moodys eleva calificacion soberana peru do niveles baa2 a3 via reuterslatam esperamos; j : 2493. Sim : 0.4502964; No similar. 
 geryances aumento precio metal mercados internacionales incrementado costo produccion monedas label; j : 2494. Sim : 0.24081276; No similar. 
 investigacionesbanrep paso pobreza valledupar aumentara significativamente 2014 201 labelurl  ; j : 2495. Sim : 0.31729013; No similar. 
 regulacion cambiaria modifico martes 3 julio expertos bancorepublica explicaran modificacion labelu; j : 2496. Sim : 0.3131059; No similar. 
 cierre diario mercado labelurl  ; j : 2497. Sim : 0.24328293; No similar. 
 andrespardoa colombia produccion cafe enero crece 15 via portafolioco labelurl  ; j : 2498. Sim : 0.43820235; No similar. 
 acuerdo informe realizado departamento trabajo ganancias promedio aumentaron 04 mm labelurl  ; j : 2499. Sim : 0.38621184; No similar. 
 informesobreinflacion aceleracion crecimiento economico previsto 2019 implica cierre parcial labelu; j : 2500. Sim : 0.24495105; No similar. 
 informe diario noviembre 9 2017 indicador inversion obras civiles crecio 86 aa 3t17 nlabelurl  ; j : 2501. Sim : 0.5170244; Baja. 
 junta directiva consulte comunicado decision jdbr tomada dia hoy cambio frecuen labelurl  ; j : 2502. Sim : 0.35795698; No similar. 
 informe renta fija agosto 12 2015 via libre miranlabelurl  ; j : 2503. Sim : 0.25177136; No similar. 
 informe diario junio 10 2015 alza precios crudo disminucion inventarios semana pasada labelurl  ; j : 2504. Sim : 0.38330826; No similar. 
 genero nueva crisis referente brexit luego presidente parlamento britanico dictaminara qu labelurl ; j : 2505. Sim : 0.26146874; No similar. 
 globalmoneyweek reitero compromiso banco republica educacion economica parte conoc labelurl  ; j : 2506. Sim : 0.50163394; Baja. 
 indicadores inflacionbasica continuan descendiendo embargo promedio 45aun ubica encima labelurl  ; j : 2507. Sim : 0.26698574; No similar. 
 consulte minutas reunion juntabanrep pasado viernes 21 diciembre decidio mantene labelurl  ; j : 2508. Sim : 0.30336142; No similar. 
 consulte minutas reunion juntabanrep pasado viernes 22 marzo decidio mantener labelurl  ; j : 2509. Sim : 0.29708043; No similar. 
 conozca resultados macroeconomicos primer semestre 2018 perspectivas resta ano labelurl  ; j : 2510. Sim : 0.3508073; No similar. 
 camacolcolombia codirector gerardohernandez senala sistema financiero demostrado fortaleza frente l; j : 2511. Sim : 0.18498439; No similar. 
 andrespardoa colombia fmi reviso pronostico crecimiento pib 2014 43 45 superior 23 america latina  ; j : 2512. Sim : 0.6372275; Baja. 
 informe diario marzo 5 2014 mercados expectativa decisiones bce labelurl  ; j : 2513. Sim : 0.47714508; No similar. 
 publicaciones informe especial estabilidadfinanciera segundo semestre 2017 analisis cartera m label; j : 2514. Sim : 0.33264065; No similar. 
 principal proposito 2017 labelurl  ; j : 2515. Sim : 0.29523763; No similar. 
 lunes festivo cuentanos sera plan like cine familianrt montar bici  ; j : 2516. Sim : 0.106203265; No similar. 
 informe renta fija septiembre 30 2016 buenos amortiguadoresnlabelurl  ; j : 2517. Sim : 0.18597431; No similar. 
 top3deimpactoeconomicon1 eeuu canada reanudaran conversaciones comercialesn2datos produccion ventas; j : 2518. Sim : 0.48447314; No similar. 
 jamonsalve fesvallenato radnalco labelurl  ; j : 2519. Sim : 0.057531446; No similar. 
 andrespardoa analisis esperamos q tasa bancorepublica mantenga 775 mes labelurl http  ; j : 2520. Sim : 0.47843134; No similar. 
 diseno politica monetaria tendra tener cuenta aumento tasas inter internacionales sop labelurl  ; j : 2521. Sim : 0.41235274; No similar. 
 andrespardoa inflacion consumidor mayo encima esperado convergido mas rapido previsto 3  ; j : 2522. Sim : 0.34819305; No similar. 
 creemosenti yosoyaval yosoybancodeoccidente labelurl  ; j : 2523. Sim : 0.13296127; No similar. 
 andrespardoa colombia marzo expectativas empleo industria 3 meses avanzan forma importante fedesarr; j : 2524. Sim : 0.30413455; No similar. 
 moveconcertsco movenews compartimos podcast demuestra emocion concierto roger water 21 noviembre ht; j : 2525. Sim : 0.23636943; No similar. 
 publicacionesbanrep informe especial estabilidadfinanciera segundo semestre 2017 indicadores intern; j : 2526. Sim : 0.29835808; No similar. 
 invitamos leer ultimo informe semanal 2018 encontrara resumen expectativ labelurl  ; j : 2527. Sim : 0.31634408; No similar. 
 informe diario marzo 29 2016 segun yellen feed debera tomar decisiones tasas inter cautela labelurl; j : 2528. Sim : 0.41338658; No similar. 
 correccion tasas inter reducido 325 puntos basicos diciembre 2016 450 actualidad  ; j : 2529. Sim : 0.3197773; No similar. 
 informe semanal enero 25 2016 pasos gigante chino labelurl  ; j : 2530. Sim : 0.16348855; No similar. 
 losgrandesbdb generacion inspira seguir creciendo felizdiadelnino festivalvallenato2018 viveselfest; j : 2531. Sim : 0.29302186; No similar. 
 banrepeduca marzo 1923 presidente pedro nel ospina contrato grupo expertos presidido profes labelur; j : 2532. Sim : 0.22554372; No similar. 
 festereopicnic revelaciones fepx labelurl  ; j : 2533. Sim : 0.08111364; No similar. 
 andrespardoa banco central apunta inflacion mayor 0no mejor q inflacion explico portafolioco htt  ; j : 2534. Sim : 0.45100185; No similar. 
 andrespardoa colombia aceleracion consumo privado 1er trimestre debe principalmente fuerte repunte ; j : 2535. Sim : 0.30103457; No similar. 
 andrespardoa colombia pronosticos pib suben labelurl via eltiempo opiniones mantenemos 5  ; j : 2536. Sim : 0.5417985; Baja. 
 acuerdo reporte perspectivas economia mundial publicado fondo monetario internacional fm labelurl  ; j : 2537. Sim : 0.34758475; No similar. 
 andrespardoa colombia demanda interna colombiana presenta dinamismo importante gerente bancorepubli; j : 2538. Sim : 0.28518364; No similar. 
 costaurbana valeriaetchart favor cuenta bancorepublica banco central colombia labelurl  ; j : 2539. Sim : 0.2599291; No similar. 
 costaurbana favor cuenta bancorepublica banco central colombia ur labelurl  ; j : 2540. Sim : 0.21504013; No similar. 
 workingpaper 1031 by maria ines agudelo and clark granger financialstability bank crisis labelurl  ; j : 2541. Sim : 0.17499556; No similar. 
 reportesdelemisor evoluciono credito tercer trimestre intermediarios financieros percibieron d labe; j : 2542. Sim : 0.30539274; No similar. 
 top 3 impacto economicopresidente trump impide venta qualcommdeficit gobierno eeuu aumento fe label; j : 2543. Sim : 0.269585; No similar. 
 adrianberriel favor cuenta bancorepublica banco central colombia ur labelurl  ; j : 2544. Sim : 0.2437974; No similar. 
 conozca acciones internacionales beneficiaron portafolios pension voluntarias colombia nlabelurl  ; j : 2545. Sim : 0.34496105; No similar. 
 andrespardoa colombia viene nueva reforma tributaria labelurl via revistasemana  ; j : 2546. Sim : 0.35567755; No similar. 
 orjuelachapeton alla esperamos  ; j : 2547. Sim : 0.25344363; No similar. 
 banrepcultural ganamos ndos proyectos resultaron ganadores digital humanities award 2017el cancione; j : 2548. Sim : 0.11033687; No similar. 
 lara35ap favor cuenta bancorepublica banco central colombia argent labelurl  ; j : 2549. Sim : 0.3074364; No similar. 
 top 3 impacto economicocrecimiento sector manufacturero china desacelero marzoconfianza empresa lab; j : 2550. Sim : 0.027442425; No similar. 
 informe semanal agosto 21 2018 viento favor labelurl  ; j : 2551. Sim : 0.22437824; No similar. 
 informe diario febrero 24 2014 inflacion eurozona aun encuentra distante meta bcelabelurl  ; j : 2552. Sim : 0.5645293; Baja. 
 fondo monetario internacional fmi publico ayer ultimas revisiones proyecciones crecimiento mundi la; j : 2553. Sim : 0.38988653; No similar. 
 top3deimpactoeconomicon1banco popular china pronostica menor crecimiento economicon2pmi manufacture; j : 2554. Sim : 0.12290451; No similar. 
 albertoabello director red bibliotecas weildler guerra gerente centro cultural labelurl  ; j : 2555. Sim : 0.0752078; No similar. 
 andrespardoa banco mundial recorto pronostico crecimiento economico america latina 2014 23 mediocre; j : 2556. Sim : 0.48670134; No similar. 
 informe especial inflacion contamos expectativa mes octubre esperamos labelurl  ; j : 2557. Sim : 0.38056508; No similar. 
 andrespardoa porquenosubirtasas 5bmayoria d codirectores dijo q alza 75 apuntalar convergencia meta; j : 2558. Sim : 0.3236415; No similar. 
 negociacion salario minimonmauricio reina investigador asociado fedesarrollo comparte perspectivas ; j : 2559. Sim : 0.29460168; No similar. 
 bandrespardoa viene mas estimulo japon tal retiro liquidez global marketwatch japan industrial prod; j : 2560. Sim : 0.29266134; No similar. 
 andrespardoa colombia hoy 11 be publica pib 4to trimestre 2013 esperamos crecimiento 5 analisis aqu; j : 2561. Sim : 0.5742086; Baja. 
 contados minutos iniciaremos conversatorio acerca perspectivas economicas politicas labelurl  ; j : 2562. Sim : 0.44247773; No similar. 
 andrespardoa analisis semana corficolombiana informe semanal julio 28 2014 mas inflacion http  ; j : 2563. Sim : 0.5918739; Baja. 
 andrespardoa colombia cierre dolar 1883 pesos mas bajo mas 7 meses tal retiro liquidez financiera g; j : 2564. Sim : 0.40544832; No similar. 
 informe semanal mayo 23 2016 diablo detalles labelurl  ; j : 2565. Sim : 0.20515795; No similar. 
 informe semanal julio 21 2014 diablo detalles labelurl  ; j : 2566. Sim : 0.30617228; No similar. 
 kattcorts hola catalina pension obligatorias fondo cesantias fondo  ; j : 2567. Sim : 0.30515912; No similar. 
 economia colombiana campo abonado recuperacion reduccion inflacion ajuste labelurl  ; j : 2568. Sim : 0.4814222; No similar. 
 top3deimpactoeconomicon1negociaciones brexit estarian yendo buen caminon2trumpvolvio criticar fe la; j : 2569. Sim : 0.20130135; No similar. 
 reportesdelemisor recuperacion economica mitigado gradualmente principales vulnerabilidades corto p; j : 2570. Sim : 0.32814744; No similar. 
 informe diario julio 9 2014 boe mantuvo tasa inter 05 continuo programa compra activos labelurl  ; j : 2571. Sim : 0.4011684; No similar. 
 top3deimpactoeconomicon1confianza consumidor eeuu alcanzo mayor niveln2un brexit negociacion labelu; j : 2572. Sim : 0.4009836; No similar. 
 informe diario julio 5 2018 miembros feed estan atentos tensiones comercialesnlabelurl  ; j : 2573. Sim : 0.33113667; No similar. 
 informe semanal julio 05 2016 salida desconocidanlabelurl  ; j : 2574. Sim : 0.2517084; No similar. 
 andrespardoa reduccion deficit fiscal eeuu implica menos oferta neta bonos tesoro compensara reducc; j : 2575. Sim : 0.5408426; Baja. 
 andrespardoa eeuu crece divergencia opiniones dentro feed frente senda inflacion labelurl via wsjec; j : 2576. Sim : 0.4575442; No similar. 
 informe semanal septiembre 25 2017 prudencia ser neutralnlabelurl  ; j : 2577. Sim : 0.45070997; No similar. 
 reportesdelemisor sistema financiero avanza proceso ajuste choques macroeconomicos 2014 h labelurl ; j : 2578. Sim : 0.2582038; No similar. 
 jorgeluiduran hola carrera 51a 134a 58 av carrera 45 149 57 av kr 45 149 57 lc 103 saludos  ; j : 2579. Sim : 0.2345881; No similar. 
 presidente unidos senalo lunes espera proceder aumento aranceles importac labelurl  ; j : 2580. Sim : 0.3296764; No similar. 
 jorgegordillo3 martinezgaf schaoficial sicsuper sicresponde hola jorgegordillo3 ofrecemos disculpas; j : 2581. Sim : 0.2602815; No similar. 
 andrespardoa analisis datos inflacion junio colombia expectativa julio labelurl  ; j : 2582. Sim : 0.58378035; Baja. 
 colcobcolombia vital capacitar actores industria aprehension garantiasmobiliarias apoyo des congest; j : 2583. Sim : 0.13878042; No similar. 
 andrespardoa colombia documento marco fiscal mediano plazo 2014 publicado hoy labelurl minhacienda ; j : 2584. Sim : 0.44218174; No similar. 
 estabilidadfinanciera consistente anterior observa aumento indicadores riesgo carga labelurl  ; j : 2585. Sim : 0.1327072; No similar. 
 informe diario marzo 6 2017 ecopetrol volvera repartir dividendos 2017nlabelurl  ; j : 2586. Sim : 0.5206024; Baja. 
 nuevo banrepcultural buenaventura tendra sala practicas musicales promovera sonidos pacif labelurl ; j : 2587. Sim : 0.11952526; No similar. 
 informe diario octubre 15 2014 principales medidas volatilidad mundial suben manera significativa l; j : 2588. Sim : 0.31045273; No similar. 
 informe diario octubre 7 2014 fmi revisa baja proyecciones economicas mundiales america latina labe; j : 2589. Sim : 0.5480128; Baja. 
 ahora unicentroneiva carrera 15 23a sur 13 atencion lunes viernes 900 be 700 pm sabad labelurl  ; j : 2590. Sim : 0.21064617; No similar. 
 andrespardoa fmi eleva expectativa crecimiento china labelurl via larepublicaco  ; j : 2591. Sim : 0.4138001; No similar. 
 andrespardoa colombia evolucion produccion industrial enero 2014 segun encuesta opinion industrial ; j : 2592. Sim : 0.5785792; Baja. 
 moveconcertsco movenews compartimos podcast demuestra emocion concierto roger water 21 noviembre  ; j : 2593. Sim : 0.22491735; No similar. 
 aynosealindo ximeamaya sfcsupervisor bancocajasocial hola aynosealindo ofrecemos disculpas inconv l; j : 2594. Sim : 0.28366157; No similar. 
 mariovalencia01 profesor beethoven herrera asume hoy presidente academia colombiana ciencias econom; j : 2595. Sim : 0.19993782; No similar. 
 segun encuesta percepcion riesgos sistema financiero deterioro calidad cartera labelurl  ; j : 2596. Sim : 0.38464448; No similar. 
 informe diario enero 18 2016 moodys redujo evaluacion credito ecopetrol baa3 ba3 labelurl  ; j : 2597. Sim : 0.53774613; Baja. 
 primer ministro italiano manifesto gobierno dispuesto modificar medidas inclu labelurl  ; j : 2598. Sim : 0.1729283; No similar. 
 andrespardoa reiteramos pronostico aumentos 25 pbs tasa inter bancorepublica proximas reuniones  ; j : 2599. Sim : 0.5716056; Baja. 
 informe semanal febrero 13 2017 sistema financiero trumpnlabelurl  ; j : 2600. Sim : 0.39453423; No similar. 
 informe semanal febrero 10 2014 buen emergente labelurl  ; j : 2601. Sim : 0.18536612; No similar. 
 ben seminariobanrep coyuntura politicas macroeconomicas cartagena joseantonioocampo senala labelurl; j : 2602. Sim : 0.4222497; No similar. 
 goguiadeocio celebraciongo felicitamos porvenir pension cesantias 25 anos gestion labelurl  ; j : 2603. Sim : 0.4999113; No similar. 
 gerardohernandez codirector bancorepublica participa hoy evento construccion politica publica label; j : 2604. Sim : 0.2627179; No similar. 
 andrespardoa 7 fmi bajo pronostico crecimiento pib america latina 2014 25 2 esperabamos bajaran 2  ; j : 2605. Sim : 0.47697532; No similar. 
 espera 2019 actividad economica siga dinamica favorable demanda interna fortaleceria labelurl  ; j : 2606. Sim : 0.25241122; No similar. 
 hecho ajuste toca destacar fiscal afectado monetario juanjoseechavarria labelurl  ; j : 2607. Sim : 0.16759358; No similar. 
 tomate tiempo explicarle hijo valor juguetes asi crearas conciencia cuidado globalmoneyweek  ; j : 2608. Sim : 0.16424778; No similar. 
 bandrespardoa argentina peso cayendo fuertemente ft argentinas disappear reserve labelurl via fastf; j : 2609. Sim : 0.12813252; No similar. 
 lepe28 colfondosonline hola lepe28 pediste cesantias  ; j : 2610. Sim : 0.14155847; No similar. 
 andrespardoa pregunta billon dueno deuda publica mercados emergentes labelurl  ; j : 2611. Sim : 0.42680392; No similar. 
 ultimos datos economicos chinos evidenciaron importaciones contrajeron 76 aa diciembre fre labelurl; j : 2612. Sim : 0.30703893; No similar. 
 vez argentina informe semanal pesar rescate fmi economia argentina ad portas entrar labelurl  ; j : 2613. Sim : 0.36830923; No similar. 
 informe semanal diciembre 4 2017 eeuu pasito pasitonlabelurl  ; j : 2614. Sim : 0.4445154; No similar. 
 informe semanal abril 21 2014 acciones pendientes labelurl  ; j : 2615. Sim : 0.2950224; No similar. 
 acuerdo datos revelados dane precios consumidor mayo aumentaron 025 ubicandose labelurl  ; j : 2616. Sim : 0.30943587; No similar. 
 andrespardoa analisis portafolioco politica monetaria local tasas estables febrero varios recortes ; j : 2617. Sim : 0.5119018; Baja. 
 jairlugo2006 reunion ordinaria junta directiva banco republica lugar pasado 25 d labelurl  ; j : 2618. Sim : 0.34977233; No similar. 
 asi encuentran periscopeco labelurl  ; j : 2619. Sim : 0.20211856; No similar. 
 juliandcg juliandcg ofrecemos disculpas inconvenientes ocasionados invitamos activar tok labelurl  ; j : 2620. Sim : 0.13689652; No similar. 
 coalicion 16 eeuu liderada california demando presidente donald trump objetivo labelurl  ; j : 2621. Sim : 0.32928026; No similar. 
 datos empleo us salen positivos refuerzan posibilidad aumento tasas dic labelurl  ; j : 2622. Sim : 0.2797031; No similar. 
 bandrespardoa hace mas 6 meses expectativa q moodys subiria calificacion colombia 2do semestre ver ; j : 2623. Sim : 0.4974299; No similar. 
 top3deimpactoeconomicon1actividad sector servicios japon expandio febreron2caen exportaciones label; j : 2624. Sim : 0.2502312; No similar. 
 andrespardoa mala deflacionno mejor q precios bajen xa aumentar capacidad gastolo explico portafoli; j : 2625. Sim : 0.39476508; No similar. 
 andresmania terminando semana mes marzo primer trimestre ano asamblea accionistas grupo aval orgull; j : 2626. Sim : 0.2531542; No similar. 
 andrespardoa riesgo deflacion eurozona aumentando asi q esperamos q banco central inyecte mas liqui; j : 2627. Sim : 0.4840486; No similar. 
 andresmania terminando semana mes marzo primer trimestre ano asamblea accionistas grupo aval orgul ; j : 2628. Sim : 0.26006603; No similar. 
 albertgiss 5 cada mes danecolombia entidad encargada producir difundir informaci labelurl  ; j : 2629. Sim : 0.16184267; No similar. 
 informe diario mayo 20 2014 ecopetrol emitio deuda 2 mil millones dolares mercados internacionales ; j : 2630. Sim : 0.5323911; Baja. 
 andrespardoa colombia manana 11 be publica pib 4to trimestre 2013 esperamos crecimiento 5 analisis ; j : 2631. Sim : 0.58655405; Baja. 
 informe diario febrero 16 2016 standard amp  ; j : 2632. Sim : 0.3361215; No similar. 
 andrespardoa bancorepublica insiste ajuste gradual postura expansiva politica monetaria q sugiere q; j : 2633. Sim : 0.3700777; No similar. 
 informe semanal marzo 24 2015 paciencia silenciosa labelurl  ; j : 2634. Sim : 0.311484; No similar. 
 informe semanal marzo 13 2017 escenario moderadonlabelurl  ; j : 2635. Sim : 0.36183712; No similar. 
 informe inflacion mayo 8 2015 moderacion vista pronostico mayo 040 mm 456 aa labelurl  ; j : 2636. Sim : 0.4957581; No similar. 
 informe semanal septiembre 26 2016 siga fiestanlabelurl  ; j : 2637. Sim : 0.17374206; No similar. 
 banrepeduca miercoles 21 viernes 23 noviembre bancorepublica organiza iii seminario d labelurl  ; j : 2638. Sim : 0.12994114; No similar. 
 academico libardo sarmiento tesis ecopetrolsa inducen quiebra informe jun labelurl  ; j : 2639. Sim : 0.36552384; No similar. 
 informe semanal octubre 19 2015 mensaje externo labelurl  ; j : 2640. Sim : 0.21103323; No similar. 
 informe renta fija febrero 6 2015 realmente atractivos labelurl  ; j : 2641. Sim : 0.15817365; No similar. 
 lunes festivo cuentanos sera plannlike cine familianrt montar bici  ; j : 2642. Sim : 0.14677256; No similar. 
 asesor economico casa blanca gary cohn banquero wall street opone altos aranceles labelurl  ; j : 2643. Sim : 0.23422965; No similar. 
 informe inflacion junio 18 2018 estabilidad oportuna labelurl  ; j : 2644. Sim : 0.48125333; No similar. 
 ecopetrolsa resultadosecopetrol produccion alcanzo 721 mil barriles petroleo equivalente dia 38 mas; j : 2645. Sim : 0.40760103; No similar. 
 informe semanal diciembre 14 2015 sorprendente resistencia labelurl  ; j : 2646. Sim : 0.23598433; No similar. 
 andrespardoa colombia retomamos pronostico original alza tasas abril cerrar 2014 475 posibilidad d ; j : 2647. Sim : 0.4857941; No similar. 
 positivos resultados financieros ecopetrol 2018 confirman regreso renta petrolera colombia labelurl; j : 2648. Sim : 0.45756075; No similar. 
 informe semanal septiembre 8 2014 eurozona querer poder labelurl  ; j : 2649. Sim : 0.27474293; No similar. 
 reportesdelemisor encuesta percepcion riesgos sistema financiero identifica perspectiva di labelurl; j : 2650. Sim : 0.34362423; No similar. 
 reporaso porveniroficial muriel coneo volvio ganar brasil labelurl  ; j : 2651. Sim : 0.18671283; No similar. 
 andrespardoa colombia bancorepublica anuncia seguira comprando maximo usd 2 mil millones 3er trimes; j : 2652. Sim : 0.4881322; No similar. 
 andrespardoa continuacion expongo varios motivos bancorepublica mantenga tasa intervencion 75 manan; j : 2653. Sim : 0.48228908; No similar. 
 informe semanal mayo 15 2017 peso reformanlabelurl  ; j : 2654. Sim : 0.23487166; No similar. 
 eventosclavedelajornadademanananeeuu 1000 confianza consumidor conference board nov labelurl  ; j : 2655. Sim : 0.24603349; No similar. 
 informe semanal julio 25 2016 mas razones pausanlabelurl  ; j : 2656. Sim : 0.29347196; No similar. 
 informe diario septiembre 4 2014 bce baja tasas inter inicia programa relajamiento cuantitativo lab; j : 2657. Sim : 0.45633346; No similar. 
 informe renta fija junio 2 2016 lectura pendiente labelurl  ; j : 2658. Sim : 0.20048396; No similar. 
 reportesdelemisor credito primer trimestre intermediarios financieros percibieron labelurl  ; j : 2659. Sim : 0.31477883; No similar. 
 informesobreinflacion inflacion ubico 333 octubre cerca meta 3 definida banco labelurl  ; j : 2660. Sim : 0.3214409; No similar. 
 orgullo corre venas gracias atleta mury800 obtuvo primer lugar carrera in labelurl  ; j : 2661. Sim : -0.013472115; No similar. 
 boletos dorados entregaran centro comercial frente tienda cuyo nombre empieza letra z  ; j : 2662. Sim : 0.046086993; No similar. 
