Modulo nnlm-es-dim128-with-normalization-2
Topicos : informe diario andrespardoa colombia eeuu 2018 inflacion 2017 inconvenientes 2014 ofrecemos disculpas tasa 
 bandrespardoa uncertainty over the approval of structural tax reform in the 2nd half of 2016 could ; j : 1. Sim : 0.13900378; No similar. 
 informe semanal febrero 19 2018 haynlabelurl  ; j : 1753. Sim : 0.2079494; No similar. 
 informe semanal agosto 1 2016 pronostico reservadonlabelurl  ; j : 1754. Sim : 0.28622904; No similar. 
 informe semanal enero 26 2015 recrudecimiento labelurl  ; j : 1755. Sim : 0.27310216; No similar. 
 informe inflacion septiembre 8 2016 caida librenlabelurl  ; j : 1756. Sim : 0.41488925; No similar. 
 eventosclavedelajornadademanananeeuu 730 indice precios productor septnconoce labelurl  ; j : 1757. Sim : 0.26923078; No similar. 
 informe semanal mayo 8 2017 impulso retardadonlabelurl  ; j : 1758. Sim : 0.28333652; No similar. 
 informe semanal mayo 2 2017 recorte aceleradonlabelurl  ; j : 1759. Sim : 0.36852208; No similar. 
 informe semanal julio 9 2018 guerras comerciales labelurl  ; j : 1760. Sim : 0.2753632; No similar. 
 monitor banquero central junio 28 2018nlabelurl  ; j : 1761. Sim : 0.06011533; No similar. 
 monitor banquero central junio 28 2017nlabelurl  ; j : 1762. Sim : 0.103007585; No similar. 
 monitor banquero central septiembre 28 2016nlabelurl  ; j : 1763. Sim : 0.08919733; No similar. 
 informe semanal febrero 12 2018 despacionlabelurl  ; j : 1764. Sim : 0.28976762; No similar. 
 informe inflacion febrero 12 2016 desbocada labelurl  ; j : 1765. Sim : 0.3528563; No similar. 
 top3deimpactoeconomicon1inflacion debajo expectativas mercadon2deficit comercial toco labelurl  ; j : 1766. Sim : 0.17293634; No similar. 
 informe semanal marzo 21 2017 pausanlabelurl  ; j : 1767. Sim : 0.2695265; No similar. 
 monitor banquero central septiembre 27 2017nlabelurl  ; j : 1768. Sim : 0.13177188; No similar. 
 monitor banquero central abril 26 2017nlabelurl  ; j : 1769. Sim : 0.05414725; No similar. 
 informe semanal septiembre 21 2015 respiro labelurl  ; j : 1770. Sim : 0.25346273; No similar. 
 informe inflacion marzo 21 2017 faltabanlabelurl  ; j : 1771. Sim : 0.4645662; No similar. 
 informe semanal julio 14 2014 cumplira labelurl  ; j : 1772. Sim : 0.40664202; No similar. 
 informe semanal marzo 5 2018 impulso limitadonlabelurl  ; j : 1773. Sim : 0.18599486; No similar. 
 monitor banquero central noviembre 22 2017nlabelurl  ; j : 1774. Sim : 0.04860172; No similar. 
 monitor banquero central mayo 24 2017 labelurl  ; j : 1775. Sim : 0.1950944; No similar. 
 monitor banquero central julio 26 2018nlabelurl  ; j : 1776. Sim : 0.011133547; No similar. 
 informe semanal junio 3 2014 normalizacion local labelurl  ; j : 1777. Sim : 0.22416323; No similar. 
 monitor banquero central enero 25 2018nlabelurl  ; j : 1778. Sim : 0.09172109; No similar. 
 informe inflacion noviembre 15 2016 picada labelurl  ; j : 1779. Sim : 0.39050224; No similar. 
 informe renta variable julio 14 2015 labelurl  ; j : 1780. Sim : 0.27494115; No similar. 
 monitor banquero central abril 25 2018nlabelurl  ; j : 1781. Sim : 0.07824; No similar. 
 informe semanal marzo 6 2017 repunte reencauchadonlabelurl  ; j : 1782. Sim : 0.37062833; No similar. 
 monitor banquero central marzo 22 2017nlabelurl  ; j : 1783. Sim : 0.064727664; No similar. 
 monitor banquero central julio 25 2017nlabelurl  ; j : 1784. Sim : 0.121946104; No similar. 
 monitor banquero central agosto 29 2017nlabelurl  ; j : 1785. Sim : 0.051334076; No similar. 
 monitor banquero central agosto 29 2016nlabelurl  ; j : 1786. Sim : 0.036547165; No similar. 
 monitor banquero central octubre 25 2017nlabelurl  ; j : 1787. Sim : 0.12233087; No similar. 
 informe semanal julio 4 2017 margen errornlabelurl  ; j : 1788. Sim : 0.31188342; No similar. 
 monitor banquero central marzo 16 2018nlabelurl  ; j : 1789. Sim : 0.06973121; No similar. 
 informe semanal junio 7 2016 distorsion estacional labelurl  ; j : 1790. Sim : 0.23292723; No similar. 
 informe semanal octubre 3 2016 menos vulnerablesnlabelurl  ; j : 1791. Sim : 0.17687857; No similar. 
 top3deimpactoeconomicon1indicadores zona euro debajo esperadon2precios petroleo labelurl  ; j : 1792. Sim : 0.19768277; No similar. 
 top3deimpactoeconomicon1sector servicios estadounidensecontinuo creciendon2solicitudes iniciales de; j : 1793. Sim : 0.04952301; No similar. 
 informe semanal febrero 8 2016 riesgo especulativo labelurl  ; j : 1794. Sim : 0.20816198; No similar. 
 informe semanal agosto 4 2014 reino mayorias labelurl  ; j : 1795. Sim : 0.42431763; No similar. 
 informe semanal mayo 26 2014 confien labelurl  ; j : 1796. Sim : 0.3305328; No similar. 
 informe semanal mayo 2 2016 preparando pausa labelurl  ; j : 1797. Sim : 0.15505774; No similar. 
 informe semanal julio 6 2015 desafiando intuicion labelurl  ; j : 1798. Sim : 0.25102478; No similar. 
 informe semanal junio 5 2018 evolucion cambiarianlabelurl  ; j : 1799. Sim : 0.34325287; No similar. 
 informe semanal abril 7 2014 dilema inmobiliario labelurl  ; j : 1800. Sim : 0.2904389; No similar. 
 top3deimpactoeconomicon1aumentan probabilidades brexit acuerdon2progresan conversaciones comercial ; j : 1801. Sim : 0.06095998; No similar. 
 informe semanal noviembre 4 2014 pesos contrapesos labelurl  ; j : 1802. Sim : 0.2621408; No similar. 
 informe semanal julio 7 2014 mas cerca mas lejos labelurl  ; j : 1803. Sim : 0.28039455; No similar. 
 informe semanal octubre 27 2014 suficiente labelurl  ; j : 1804. Sim : 0.28780767; No similar. 
 informe semanal agosto 8 2016 rompecabezas fiscal labelurl  ; j : 1805. Sim : 0.23033357; No similar. 
 top3deimpactoeconomicon1confianza consumidores disminuyo marginalmente noviembren2 red labelurl  ; j : 1806. Sim : 0.20030567; No similar. 
 informe semanal junio 9 2015 raspando olla labelurl  ; j : 1807. Sim : 0.2073134; No similar. 
 informe semanal noviembre 8 2016 resultado binario labelurl  ; j : 1808. Sim : 0.21448; No similar. 
 informe semanal marzo 2 2015 bajos impactos labelurl  ; j : 1809. Sim : 0.19465855; No similar. 
 informe semanal junio 9 2014 lluvia euros labelurl  ; j : 1810. Sim : 0.22788678; No similar. 
 estadisticas meta inflacion actualizado 06032019 1241 p m labelurl labelurl  ; j : 1811. Sim : 0.34699774; No similar. 
 estadisticas meta inflacion actualizado 08012019 1200 m labelurl labelurl  ; j : 1812. Sim : 0.44333214; No similar. 
 estadisticas meta inflacion actualizado 06112018 1200 m labelurl labelurl  ; j : 1813. Sim : 0.36576006; No similar. 
 estadisticas meta inflacion actualizado 06092018 1200 m labelurl labelurl  ; j : 1814. Sim : 0.3827099; No similar. 
 estadisticas meta inflacion actualizado 06032018 1200 m labelurl labelurl  ; j : 1815. Sim : 0.3742421; No similar. 
 estadisticas meta inflacion actualizado 06082018 1200 m labelurl labelurl  ; j : 1816. Sim : 0.4274768; No similar. 
 estadisticas meta inflacion actualizado 06072018 1200 m labelurl labelurl  ; j : 1817. Sim : 0.41889828; No similar. 
 explotacion petroleo roca generadora roca madre labelurl labelurl  ; j : 1818. Sim : 0.11739302; No similar. 
 informe semanal febrero 3 2014 panico ajeno labelurl  ; j : 1819. Sim : 0.35556015; No similar. 
 estadisticas meta inflacion actualizado 06042018 1200 m labelurl labelurl  ; j : 1820. Sim : 0.4266327; No similar. 
 regionalnortebancoavvillas siquiera lluvia arroyos detienen unidad labelurl  ; j : 1821. Sim : 0.0017043271; No similar. 
 almaxcolombia yonomepierdoalmax lineup seria pecado capital labelurl  ; j : 1822. Sim : 0.0788988; No similar. 
 informe diario julio 9 2018 minutas banrep crecimiento podria llegar 3 2018nlabelurl  ; j : 1823. Sim : 0.40672025; No similar. 
 informe semanal noviembre 3 2015 mal necesario labelurl  ; j : 1824. Sim : 0.18565843; No similar. 
 informe semanal julio 3 2018 transmision proceso labelurl  ; j : 1825. Sim : 0.34672523; No similar. 
 informe semanal mayo 5 2014 busca equilibrio labelurl  ; j : 1826. Sim : 0.18898879; No similar. 
 informe semanal noviembre 9 2015 mas esfuerzo fiscal labelurl  ; j : 1827. Sim : 0.33201128; No similar. 
 zonabiencomco lanzamiento equipoporvenir2019 porveniroficial mediamaratonbog angieorjuela labelurl ; j : 1828. Sim : -0.056461092; No similar. 
 informe diario enero 29 2014 feed redujo compra mensual titulos 10 mil millones segun anticipamos l; j : 1829. Sim : 0.42789662; No similar. 
 sera cafe queda fresco cafetera abuela labelurl  ; j : 1830. Sim : 0.1935958; No similar. 
 informe diario julio 27 2015 fmi dice bce podria alargar estimulo modestas perspectivas mediano pla; j : 1831. Sim : 0.49744654; No similar. 
 informe semanal octubre 5 2015 cambio cambiario labelurl  ; j : 1832. Sim : 0.2696838; No similar. 
 informe diario enero 28 2014 banco central turquia aumenta 425 pbs tasa inter overnight labelurl  ; j : 1833. Sim : 0.50738436; Baja. 
 investigacionesbanrep inflacionbasica norberto rodrigueznino alejandra ramirezramirez labelurl  ; j : 1834. Sim : 0.20387149; No similar. 
 andrespardoa colombia inflacion sube 25 marzo 27 abril esperamos bancorepublica eleve tasa inter 35; j : 1835. Sim : 0.50772935; Baja. 
 andrespardoa mensaje yellen hoy feed mantendra tasas bajas x tiempo considerable xq economia sigue ; j : 1836. Sim : 0.47461894; No similar. 
 andrespardoa cuanto crecio economia colombiana 1er trimestre jueves publica pronostico 53 detalles ; j : 1837. Sim : 0.5827164; Baja. 
 andrespardoa banco central europeo anuncia nuevas medidas estimulo monetario segun anticipamos exce; j : 1838. Sim : 0.34225863; No similar. 
 informe diario diciembre 11 2014 banco central rusia elevo tasa inter referencia 95 105 labelurl  ; j : 1839. Sim : 0.39652434; No similar. 
 bandrespardoa moodys sube calificacion riesgo colombia baa3 baa2 segun anticipamos informe anual di; j : 1840. Sim : 0.5324484; Baja. 
 informe diario noviembre 8 2018 fmi reviso baja pronostico crecimiento mexiconlabelurl  ; j : 1841. Sim : 0.57952857; Baja. 
 informe diario marzo 27 2019 mayo renunciacion parlamento aprueba acuerdo brexitnlabelurl  ; j : 1842. Sim : 0.3484097; No similar. 
 dane revelo variacion indice precios consumidor ipc ubico 024 marzo debajo labelurl  ; j : 1843. Sim : 0.50806403; Baja. 
 reportesdelemisor economia region noroccidente repunto 3t2018 antioquia demanda interna mejoro c la; j : 1844. Sim : 0.41201752; No similar. 
 andrespardoa colombia produccion industrial crecio 01 enero flojo positivo contraste caidas mayor  ; j : 1845. Sim : 0.43234736; No similar. 
 informe inflacion julio 10 2015 fuerzas encontradas pronostico julio 020 mm 448 aa labelurl  ; j : 1846. Sim : 0.34509254; No similar. 
 andrespardoa colombia minutas bancorepublicala junta cree q alza tasas requiere xa moderar acumulac; j : 1847. Sim : 0.5619356; Baja. 
 top 3 impacto economicobanco central japon mantuvo politica monetaria establecrecimiento econom lab; j : 1848. Sim : 0.3113986; No similar. 
 informe diario diciembre 3 2015 bce disminuyo tasa inter depositos 10 pbs ubico 030nlabelurl  ; j : 1849. Sim : 0.539622; Baja. 
 informe diario mayo 25 2017 opep extiende 9 meses mas recortes produccion petroleo labelurl  ; j : 1850. Sim : 0.55714524; Baja. 
 informe diario mayo 29 2014 economia eeuu contrae 10 1t14 labelurl  ; j : 1851. Sim : 0.48777905; No similar. 
 informe diario enero 14 2015 banco mundial redujo pronosticos crecimiento global 34 3 2015nlabelurl; j : 1852. Sim : 0.36770827; No similar. 
 andrespardoa eeuu pib crecio 4 segundo trimestre vs estimaciones 3 rebote natural despues fuerte co; j : 1853. Sim : 0.46270233; No similar. 
 andrespardoa colombia importaciones crecieron 113 anual febrero 2014 labelurl via danecolombia  ; j : 1854. Sim : 0.41977444; No similar. 
 andrespardoa esperamos tesoros 10 anos vuelvan tocar niveles 250 despues inicio reduccion qe3 di  ; j : 1855. Sim : 0.35073495; No similar. 
 informe diario marzo 16 2016 feed decidio mantener tasa inter inalterada rango 025050 labelurl  ; j : 1856. Sim : 0.38285166; No similar. 
 informe semanal septiembre 4 2017 sensibilidadnlabelurl  ; j : 1857. Sim : 0.32458898; No similar. 
 informe semanal septiembre 7 2015 momentonlabelurl  ; j : 1858. Sim : 0.25990298; No similar. 
 informe semanal agosto 27 2018 labelurl  ; j : 1859. Sim : 0.32620814; No similar. 
 informe semanal octubre 9 2017 contrarrelojnlabelurl  ; j : 1860. Sim : 0.3017154; No similar. 
 informe semanal septiembre 1 2014 normal labelurl  ; j : 1861. Sim : 0.27201295; No similar. 
 informe diario agosto 31 2015 report eia opep motivaron fuertes aumentos precio petroleo hoy labelu; j : 1862. Sim : 0.46034825; No similar. 
 top3deimpactoeconomicon1inflacion colombiaestuvo linea expectativas mercadon2chinaredujo r labelurl; j : 1863. Sim : 0.3270304; No similar. 
 jaocampo politica fiscal efecto contraccionista labelurl  ; j : 1864. Sim : 0.35325262; No similar. 
 informe diario marzo 11 2014 datos mixtos globales influyen comportamiento mercado labelurl  ; j : 1865. Sim : 0.34423858; No similar. 
 princesasamaria caerian mal 5 milloncitos novio labelurl  ; j : 1866. Sim : 0.2586455; No similar. 
 informe diario septiembre 24 2015 mayoria miembros fomc esperan subida tasas ano labelurl  ; j : 1867. Sim : 0.5320413; Baja. 
 informe diario enero 22 2014 bancos central japon mantiene cambios politica monetaria expansiva lab; j : 1868. Sim : 0.4554295; No similar. 
 informe diario diciembre 15 2015 fitch ratifico calificacion colombia bbb perspectiva establenlabel; j : 1869. Sim : 0.5229782; Baja. 
 sicolombialeganaabrasilyo quedo chile torneo termine labelurl  ; j : 1870. Sim : 0.29566145; No similar. 
 andrespardoa mas cerca fin alza tasas  ; j : 1871. Sim : 0.3507865; No similar. 
 workingpaper 1024 by luis arango javier pantoja and carlos velasquez labelurl nlet us know what you; j : 1872. Sim : 0.27533153; No similar. 
 informesobreinflacion regla fiscal importante cumplirla  ; j : 1873. Sim : 0.22433439; No similar. 
 bancorepublica presenta nueva regulacion cambiaria labelurl  ; j : 1874. Sim : 0.19960149; No similar. 
 paralizado bombeo combustibles nivel nacional labelurl  ; j : 1875. Sim : 0.105239965; No similar. 
 informe diario marzo 3 2015 ecopetrol registro caida 427 aa utilidad neta 2014 labelurl  ; j : 1876. Sim : 0.4872353; No similar. 
 andrespardoa eeuu nueva desaceleracion inflacion agosto medida traves ipc total bajo 2 17 nucleo  ; j : 1877. Sim : 0.52419823; Baja. 
 informe diario junio 21 2016 crecen expectativas permanencia reino unido union europeanlabelurl  ; j : 1878. Sim : 0.33097652; No similar. 
 faperezro anagabrielrl compartimos terminos condiciones labelurl  ; j : 1879. Sim : 0.09674728; No similar. 
 informe diario agosto 25 2015 banco central china redujo tasas inter quinta vez noviembre labelurl ; j : 1880. Sim : 0.32677263; No similar. 
 andrespardoa eeuu inflacion total deflactor pce 16 nucleo 15 julio presiones inflacionarias debajo ; j : 1881. Sim : 0.5627628; Baja. 
 informe diario marzo 5 2019 ligera desaceleracion pmi servicios eeuunlabelurl  ; j : 1882. Sim : 0.32079077; No similar. 
 eventosclavedelajornadademananan colombia 1900 inflacionn zona euro 400 markit pmi servicios n eeuu; j : 1883. Sim : 0.30085; No similar. 
 eeuu pib crecio 35 3er trimestre demanda privada solo crecio 16 impulso provino gasto publico expor; j : 1884. Sim : 0.52429956; Baja. 
 informe diario junio 9 2016 ventas mayoristas eeuu mostraron buena dinamica abril labelurl  ; j : 1885. Sim : 0.40192428; No similar. 
 informe diario agosto 5 2015 inflacion julio 019 mm 446 aa esperabamos 020 mmnlabelurl  ; j : 1886. Sim : 0.4307519; No similar. 
 informe diario julio 9 2015 fmi revisa baja pronosticos crecimiento economico mundial 2015 labelurl; j : 1887. Sim : 0.4657853; No similar. 
 andrespardoa 2 fmi bajo pronostico crecimiento pib paises avanzados 22 18 esperabamos bajaran 19  ; j : 1888. Sim : 0.4193817; No similar. 
 informe diario noviembre 24 2016 colombia area construida crecio 63 aa 3t16nlabelurl  ; j : 1889. Sim : 0.4921992; No similar. 
 informe diario diciembre 18 2014 diciembre confianza empresarial alemania aumento 1055 puntos label; j : 1890. Sim : 0.43308222; No similar. 
 andrespardoa colombia tasa desempleo 92 junio 2014 variacion frente mismo mes 2013 danecolombia  ; j : 1891. Sim : 0.5341013; Baja. 
 andrespardoa banco central europeo baja tasa referencia 015 005 tasa depositos 01 02 mas estimulo m; j : 1892. Sim : 0.3132024; No similar. 
 finales 2017 deficit gobierno ubico 36 pib saldo deuda 448 pib depreci labelurl  ; j : 1893. Sim : 0.57610184; Baja. 
 jaocampo si adoptado politicas anticiclicas auge politicas prociclicas inevitables crisis  ; j : 1894. Sim : 0.4141425; No similar. 
 andrespardoa cuanto crecio economia colombiana 1er trimestre ano vean pronostico detalles aqui labe; j : 1895. Sim : 0.57033575; Baja. 
 informe diario abril 21 2014en medio bajos volumenes negociacion bolsas cierran resultados positivo; j : 1896. Sim : 0.392593; No similar. 
 informe diario diciembre 10 2014 opep reduce pronosticos demanda global petroleo 2015 labelurl  ; j : 1897. Sim : 0.44507936; No similar. 
 andrespardoa colombia analisis marco fiscal mediano plazo 2014 impacto mercado deuda publica htt  ; j : 1898. Sim : 0.52343166; Baja. 
 informe diario febrero 10 2016 yellen afirmo condiciones financieras eeuu desfavorecido crecimiento; j : 1899. Sim : 0.47185585; No similar. 
 informe diario agosto 11 2015 banco popular china devaluo yuan 19 hoy incentivar exportacionesnlabe; j : 1900. Sim : 0.26600277; No similar. 
 top 3 impacto economico bce mantendria tasa inter estable proxima reunion politica monetaria labelu; j : 1901. Sim : 0.48994187; No similar. 
 andrespardoa economia colombia desacelera 2do trimestre banco central frenaria alza tasa labelurl v; j : 1902. Sim : 0.57627857; Baja. 
 andrespardoa recomendado reporte estabilidad financiera global fmi impulso mercados pasa liquidez c; j : 1903. Sim : 0.33180934; No similar. 
 informe diario septiembre 9 2015 demanda trabajo eeuu registro maximo historico julio labelurl  ; j : 1904. Sim : 0.511843; Baja. 
 informe diario febrero 11 2016 yellen descarta opcion tasas inter terreno negativo labelurl  ; j : 1905. Sim : 0.33493054; No similar. 
 enero2017 enero 2018 consenso frente pronostico crecimiento pib ano bajo 5 pb labelurl  ; j : 1906. Sim : 0.4275809; No similar. 
 colombia tasa desempleo bajo 84 septiembre 06 puntos debajo reportada hace 12 meses continua buena ; j : 1907. Sim : 0.3488148; No similar. 
 andrespardoa reiteramos pronostico aumentos 25 pbs tasa inter bancorepublica proximas reuniones  ; j : 1908. Sim : 0.5716056; Baja. 
 andrespardoa eeuu cambios sutiles proyecciones inflacion desempleo proximos 2 anos ligeramente mejo; j : 1909. Sim : 0.4881468; No similar. 
 informe diario febrero 21 2018 indice confianza industrial salio terreno negativonlabelurl  ; j : 1910. Sim : 0.42384925; No similar. 
 informe diario abril 27 2015 agencia fitch redujo calificacion crediticia japon labelurl  ; j : 1911. Sim : 0.49769437; No similar. 
 cambios pronosticos 2015 crecimiento pib 35 3 inflacion 38 41 tasa bancorepublica 4 45 labelurl  ; j : 1912. Sim : 0.37823159; No similar. 
 andrespardoa colombia bancorepublica sube pronostico crecimiento pib 2014 43 5 mismo nivel venimos ; j : 1913. Sim : 0.54986537; Baja. 
 andrespardoa dato pib 2do trimestre podria sorprender requerir nuevo aumento tasa bancorepublica an; j : 1914. Sim : 0.5346857; Baja. 
 andrespardoa colombia economia crecio 43 segundo trimestre 2014 debajo pronostico 49  ; j : 1915. Sim : 0.61512065; Baja. 
 informe diario octubre 13 2016 datos china influencian desvalorizaciones globales labelurl  ; j : 1916. Sim : 0.40902117; No similar. 
 andrespardoa banco central europeo recorta tasa inter referencia 005 0 tasa depositos 03 04  ; j : 1917. Sim : 0.32606125; No similar. 
 informe diario mayo 17 2016 confianza consumidor colombia completa cuatro meses terreno negativo la; j : 1918. Sim : 0.4017433; No similar. 
 andrespardoa colombia analisis inflacion junio pronostico julio 002 mensual 276 anual http  ; j : 1919. Sim : 0.59154147; Baja. 
 andrespardoa colombia produccion real industria marzo 2014 segun eoic andicolombia sigue repunte an; j : 1920. Sim : 0.54197174; Baja. 
 eventosclavedelajornadademananan zona euro 500 expectativas encuesta zew n japon 1850 balanza comer; j : 1921. Sim : 0.29602194; No similar. 
 informe diario mayo 26 2014 jornada enmarcada bajos volumenes mercado dia feriado eeuu labelurl  ; j : 1922. Sim : 0.4764817; No similar. 
 informe diario diciembre 1 2014 moodys rebaja aa3 a1 calificacion soberana japon labelurl  ; j : 1923. Sim : 0.4867265; No similar. 
 informe diario septiembre 21 2016 tasa inter podria aumentar acabar ano fednlabelurl  ; j : 1924. Sim : 0.45796412; No similar. 
 juliocromeroa esperamos crecimiento 28 2018 32 2019 sesgo negativo alta incert labelurl  ; j : 1925. Sim : 0.34021863; No similar. 
 eurozona inflacion sube octubre 03 04 nucleo cae 08 07 presion mas estimulo monetario continua  ; j : 1926. Sim : 0.48055348; No similar. 
 informe diario noviembre 28 2017 powell sugiere probable aumento tasas diciembrenlabelurl  ; j : 1927. Sim : 0.46479696; No similar. 
 informe diario diciembre 2 2015 yellen dijo subida tasas sera senal confianza economianlabelurl  ; j : 1928. Sim : 0.5092322; Baja. 
 informe diario septiembre 12 2016 opiniones mixtas miembros feed aumento tasanlabelurl  ; j : 1929. Sim : 0.26556805; No similar. 
 informe diario noviembre 19 2014 permisos construccion eeuu crecieron 48 mm labelurl  ; j : 1930. Sim : 0.51393586; Baja. 
 andrespardoa 2 manana actualizacion proyecciones economicas fmi 2014 prevemos crecimiento eeuu euro; j : 1931. Sim : 0.55476046; Baja. 
 eeuu anuncio nuevas sanciones rusia respuesta envenenamiento sufrieron ruso sergei skripal labelurl; j : 1932. Sim : 0.32567212; No similar. 
 andrespardoa bancorepublica reconoce qu fuerte caida confianza consumidor genera mayor incertidumbr; j : 1933. Sim : 0.26086307; No similar. 
 andrespardoa minutas feed sugieren habra aumento tasas marzo proximo aumento seria junio analisis l; j : 1934. Sim : 0.49287876; No similar. 
 workingpaper 1031 by maria ines agudelo and clark granger financialstability bank crisis labelurl  ; j : 1935. Sim : 0.17499557; No similar. 
 informe diario octubre 3 2018 gobierno colombia emite nuevos bonos dolares labelurl  ; j : 1936. Sim : 0.5742499; Baja. 
 andrespardoa reduccion deficit fiscal eeuu implica menos oferta neta bonos tesoro compensara reducc; j : 1937. Sim : 0.5408426; Baja. 
 informe diario octubre 3 2018 gobierno colombia emite nuevos bonos dolaresnlabelurl  ; j : 1938. Sim : 0.49069792; No similar. 
 fuerte creacion nominas febrero crearon 313 mil nuevos puestos trabajo frente expectativa 205 label; j : 1939. Sim : 0.21197802; No similar. 
 cada ano patrocina siete profesionales colombianos deseen estudiar posgrado exterior si in labelurl; j : 1940. Sim : 0.116187446; No similar. 
 andrespardoa porquenosubirtasas 2bproduccion industrial refinacion crecio mayo peor tasa jul15exclu; j : 1941. Sim : 0.3974889; No similar. 
 renta variable internacional dolar dan impulso rentabilidades conoce informe mercado ago labelurl  ; j : 1942. Sim : 0.24584809; No similar. 
 top 3 impacto economico economia britanica crecio debajo esperado 2017 confianza empresarial labelu; j : 1943. Sim : 0.4217011; No similar. 
 andrespardoa bonos tesoro eeuu 10 anos tocando 25 dijimos comienzo taper implicaba q tasa tenia q s; j : 1944. Sim : 0.48591474; No similar. 
 informe diario septiembre 26 2017 yellen reafirma ajuste gradual politica monetarianlabelurl  ; j : 1945. Sim : 0.48171794; No similar. 
 informe diario junio 12 2014 mercados vieron influenciados datos economicos mixtos eeuu eurozona la; j : 1946. Sim : 0.49070206; No similar. 
 andrespardoa colombia evolucion produccion industrial enero 2014 segun encuesta opinion industrial ; j : 1947. Sim : 0.5785791; Baja. 
 informe diario octubre 24 2016 petroleo retrocede tras declaraciones ministro iraknlabelurl  ; j : 1948. Sim : 0.5428319; Baja. 
 informe diario junio 13 2016 fmi demuestra respaldo politica economica colombia labelurl  ; j : 1949. Sim : 0.67231375; Media. 
 cantidad sustancial firmas pagan tasa mayor 60 impuesto renta promedio  ; j : 1950. Sim : 0.29188463; No similar. 
 informe diario mayo 27 2015 solicitudes credito hipotecario eeuu cayeron 16 semana 22 mayo labelurl; j : 1951. Sim : 0.49449062; No similar. 
 andrespardoa colombia luego dato inflacion ratificamos pronostico superior consenso tasa bancorepub; j : 1952. Sim : 0.64430934; Baja. 
 informe diario diciembre 19 2017 eeuu reforma tributaria pasa camaranlabelurl  ; j : 1953. Sim : 0.5791772; Baja. 
 informe diario noviembre 4 2014 comision europea revisa baja nuevo proyecciones crecimiento labelur; j : 1954. Sim : 0.40251905; No similar. 
 andrespardoa brasil banco central sube tasa inter referencia 25 pbs 1075 linea expectativas  ; j : 1955. Sim : 0.4005139; No similar. 
 informe diario septiembre 3 2015 bce redujo proyecciones pib inflacion advirtio deflacion temporal ; j : 1956. Sim : 0.6184929; Baja. 
 informe diario octubre 1 2014 eeuu 213 mil personas empleadas sector privado septiembre labelurl  ; j : 1957. Sim : 0.3929778; No similar. 
 informe diario noviembre 5 2014 octubre 230 mil personas empleadas sector privado eeuu labelurl  ; j : 1958. Sim : 0.34128675; No similar. 
 andrespardoa banco central meta inflacion mayor 0 acaso mejor q inflacion aqui explico htt  ; j : 1959. Sim : 0.52404934; Baja. 
 andrespardoa eeuu economia solo crecio 01 primer trimestre 2014 frente estimacion promedio 12 gran ; j : 1960. Sim : 0.57177246; Baja. 
 andrespardoa colombia hoy esperamos bancorepublica mantenga tasas inter 325 analisis economico mens; j : 1961. Sim : 0.5149175; Baja. 
 pib 3q eeuu crecio ritmo mas rapido ultimos do anos yoy 29 vs yoy 14 labelurl  ; j : 1962. Sim : 0.4518123; No similar. 
 andrespardoa tarde panelista 2014 colombia investors forum latinmarketslm bogotagracias x invitacio; j : 1963. Sim : 0.4693489; No similar. 
 informe diario mayo 8 2018 trump anuncio decision retirarse acuerdo irannlabelurl  ; j : 1964. Sim : 0.41109422; No similar. 
 eventosclavedelajornadademanananeeuu 0730 crecimiento pib 3tneeuu 0900 indicador sentimiento labelu; j : 1965. Sim : 0.4297019; No similar. 
 festereopicnic revelaciones 29012019 fepx labelurl  ; j : 1966. Sim : 0.10629968; No similar. 
 andrespardoa colombia esperamos bancorepublica revise alza pronostico crecimiento pib 2014 hoy 43  ; j : 1967. Sim : 0.5732458; Baja. 
 informe diario enero 15 2014 positivos datos economicos corporativos impulsan bolsas maximos histor; j : 1968. Sim : 0.51523846; Baja. 
 andrespardoa interesados mercado deuda publica colombiana recomiendo informe mensual cambio chip ht; j : 1969. Sim : 0.4060632; No similar. 
 informe diario julio 21 2016 bce podria aumentar estimulos anonlabelurl  ; j : 1970. Sim : 0.45616695; No similar. 
 andrespardoa afectan nuevas estimaciones fiscales financiamiento 20142015 mercado deuda publica ana; j : 1971. Sim : 0.47531077; No similar. 
 informe diario abril 7 2016 minutas bce muestran divisiones programa estimulo labelurl  ; j : 1972. Sim : 0.41767356; No similar. 
 primer informe 2019 congreso labelurl  ; j : 1973. Sim : 0.17441386; No similar. 
 2017 paises desarrollados lideraron ciclo positivo economia gracias aceleracion consumo labelurl  ; j : 1974. Sim : 0.32816887; No similar. 
 informe diario septiembre 25 2018 india dejara comprar petroleo iraninlabelurl  ; j : 1975. Sim : 0.45343682; No similar. 
 informe diario septiembre 25 2018 india dejara comprar petroleo irani labelurl  ; j : 1976. Sim : 0.4564713; No similar. 
 top 3 impacto economicoindice pce sube levemente mes mayoinflacion zona euro presento ma labelurl  ; j : 1977. Sim : 0.28859514; No similar. 
 detalles mercado laboral septiembre senales recuperacion incipiente contexto urbano demanda labelur; j : 1978. Sim : 0.28185713; No similar. 
 informe diario octubre 22 2015 colombia mejora confianza industrial septiembrenlabelurl  ; j : 1979. Sim : 0.4418145; No similar. 
 andrespardoa porquenosubirtasas 1d ampliacion linea credito fmi aumenta escudo reservas internacion; j : 1980. Sim : 0.52122283; Baja. 
